Date	Ticker	Action	Value
2021-01-19	00701	XD	0.73
2021-01-19	00702	XD	0.18
2021-01-19	00714	XD	0.121
2021-01-19	00717	XD	0.148
2021-01-19	00735	XD	1.03
2021-01-19	00736	XD	0.25
2021-01-19	00770	XD	0.38
2021-01-19	00830	XD	0.32
2021-01-19	00687B	XD	0.19
2021-01-19	00694B	XD	0.118
2021-01-19	00695B	XD	0.139
2021-01-19	00696B	XD	0.293
2021-01-19	00719B	XD	0.02
2021-01-19	00720B	XD	0.41
2021-01-19	00722B	XD	0.411
2021-01-19	00723B	XD	0.337
2021-01-19	00724B	XD	0.386
2021-01-19	00725B	XD	0.42
2021-01-19	00726B	XD	0.37
2021-01-19	00727B	XD	0.51
2021-01-19	00740B	XD	0.506
2021-01-19	00741B	XD	0.479
2021-01-19	00744B	XD	0.75
2021-01-19	00746B	XD	0.38
2021-01-19	00749B	XD	0.42
2021-01-19	00750B	XD	0.325
2021-01-19	00761B	XD	0.32
2021-01-19	00772B	XD	0.128
2021-01-19	00773B	XD	0.138
2021-01-19	00782B	XD	0.32
2021-01-19	00784B	XD	0.297
2021-01-19	00785B	XD	0.443
2021-01-19	00788B	XD	0.335
2021-01-19	00848B	XD	0.353
2021-01-19	00849B	XD	0.281
2021-01-19	00870B	XD	0.36
