Date	Ticker	Action	Value
2020-07-07	1303	XD	2.2
2020-07-07	1477	XD	5
2020-07-07	2453	XD	1
2020-07-07	2456	XD	3.369441
2020-07-07	2459	XD	3.008665
2020-07-07	2538	XD	0.5
2020-07-07	3019	XD	2
2020-07-07	3038	XD	1.2
2020-07-07	3044	XD	7.25
2020-07-07	3130	XD	8.62
2020-07-07	3231	XD	2.042251
2020-07-07	3338	XD	2.086405
2020-07-07	4572	XD	5
2020-07-07	4722	XD	1.8
2020-07-07	4906	XD	0.50315
2020-07-07	4930	XD	0.5
2020-07-07	6136	XD	1.4
2020-07-07	6176	XD	8
2020-07-07	8081	XD	7.5
2020-07-07	1752	XD	1.7
2020-07-07	3093	XD	1.6
2020-07-07	3213	XD	4.19999999
2020-07-07	3587	XD	3.0
2020-07-07	4120	XD	1.8
2020-07-07	4175	XD	3.6
2020-07-07	5287	XD	12.8
2020-07-07	5356	XD	2.2
2020-07-07	6185	XD	0.5
2020-07-07	6527	XD	2.55
2020-07-07	6568	XD	5.99570216
2020-07-07	6590	XD	2.15
2020-07-07	6615	XD	2.6
2020-07-07	6679	XD	2.44381579
2020-07-07	8064	XD	1.0
