Date	Ticker	Action	Value
2020-07-08	1219	XD	0.400452
2020-07-08	1507	XD	2.2
2020-07-08	1608	XD	0.66
2020-07-08	1773	XD	2.2
2020-07-08	1773	XR	200
2020-07-08	2373	XD	6
2020-07-08	2421	XD	2
2020-07-08	2425	XD	0.3
2020-07-08	2605	XD	0.5
2020-07-08	2608	XD	1.45
2020-07-08	2612	XD	0.8
2020-07-08	2633	XD	1.2101
2020-07-08	3048	XD	1
2020-07-08	3056	XD	3
2020-07-08	3532	XD	3.5
2020-07-08	4958	XD	4.5
2020-07-08	6108	XD	1.6
2020-07-08	6115	XD	3
2020-07-08	6205	XD	1.210565
2020-07-08	6215	XD	0.5
2020-07-08	8072	XD	0.2
2020-07-08	8481	XD	3
2020-07-08	8499	XD	5
2020-07-08	9188	XD	0.09565
2020-07-08	1593	XD	3.2
2020-07-08	1595	XD	1.25
2020-07-08	3217	XD	4.3
2020-07-08	3264	XD	1.3
2020-07-08	3558	XD	5.2
2020-07-08	3687	XD	0.069
2020-07-08	4931	XD	1.7
2020-07-08	5015	XD	2.4
2020-07-08	6642	XD	1.5
2020-07-08	8255	XD	4.5
2020-07-08	8433	XD	2.0
2020-07-08	8435	XD	3.35
