Date	Ticker	Action	Value
2021-12-16	2330	XD	2.75
2021-12-16	2753	XD	2.272881
2021-12-16	00697B	XD	0.15
2021-12-16	00751B	XD	0.35
2021-12-16	00764B	XD	0.213
2021-12-16	00765B	XD	0.609
2021-12-16	00772B	XD	0.124
2021-12-16	00773B	XD	0.117
2021-12-16	00777B	XD	0.29
2021-12-16	00778B	XD	0.344
2021-12-16	00779B	XD	0.22
2021-12-16	00781B	XD	0.3
2021-12-16	00787B	XD	0.34
2021-12-16	00792B	XD	0.319
2021-12-16	00793B	XD	0.633
2021-12-16	00836B	XD	0.305
2021-12-16	00838B	XD	0.67
2021-12-16	00856B	XD	0.09
2021-12-16	00857B	XD	0.205
2021-12-16	00859B	XD	0.089
2021-12-16	00862B	XD	0.266
2021-12-16	00863B	XD	0.297
2021-12-16	00883B	XD	0.279
2021-12-16	6123	XD	1.2
