Date	Ticker	Action	Value
2020-07-29	1446	XD	0.3
2020-07-29	3380	XD	0.440539
2020-07-29	5284	XD	1.9
2020-07-29	6416	XD	2.823716
2020-07-29	6449	XD	1
2020-07-29	8427	XD	0.37
2020-07-29	8473	XD	2
2020-07-29	8996	XD	2
2020-07-29	9904	XD	1.25
2020-07-29	9937	XD	2
2020-07-29	1813	XD	1.0
2020-07-29	3306	XD	0.7
2020-07-29	3577	XD	0.7
2020-07-29	4533	XD	0.25
2020-07-29	4556	XD	0.69762677
2020-07-29	4744	XD	1.63532339
2020-07-29	4933	XD	1.0853861
2020-07-29	6148	XD	0.3157629
2020-07-29	6163	XD	0.41463763
