Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
3059,profit,1.83%,2.29%,-2.98%,-1.15%,591
8261,loss,-2.33%,-2.33%,-6.98%,-4.49%,-1846
total,50.0%,,,,-1.21%,-1255,103800.0
