Date	Ticker	Name
2020-05-08	00749B	凱基新興債10+
2020-05-08	00750B	凱基科技債10+
2020-05-08	00751B	元大AAA至A公司債
2020-05-08	00754B	群益AAA-AA公司債
2020-05-08	00755B	群益15年IG公用債
2020-05-08	00756B	群益15年EM主權債
2020-05-08	00758B	FH能源債
2020-05-08	00759B	FH製藥債
2020-05-08	00760B	FH新興企業債
2020-05-08	00761B	國泰A級公司債
2020-05-08	00764B	群益25年美債
2020-05-08	00765B	群益中國政金債
2020-05-08	00768B	FH20年美債
2020-05-08	00769B	FH中國信用債
2020-05-08	00772B	中信高評級公司債
2020-05-08	00773B	中信優先金融債
2020-05-08	00777B	凱基AAA至A公司債
2020-05-08	00778B	凱基金融債20+
2020-05-08	00779B	凱基美債25+
2020-05-08	00780B	國泰A級金融債
2020-05-08	00781B	國泰A級科技債
2020-05-08	00782B	國泰A級公用債
2020-05-08	00784B	富邦中國投等債
2020-05-08	00785B	富邦金融投等債
2020-05-08	00786B	元大10年IG銀行債
2020-05-08	00787B	元大10年IG醫療債
2020-05-08	00788B	元大10年IG電能債
2020-05-08	00789B	FH公司債A3
2020-05-08	00790B	FH次順位IG金融債
2020-05-08	00791B	FH美元信用債1-5Y
2020-05-08	00792B	群益A級公司債
2020-05-08	00793B	群益AAA-A醫療債
2020-05-08	00794B	群益7+中國政金債
2020-05-08	00795B	中信美國公債20年
2020-05-08	00796B	中信中國債7-10
2020-05-08	00798B	國泰中企A級債7+
2020-05-08	00799B	國泰A級醫療債
2020-05-08	00831B	新光美債1-3
2020-05-08	00832B	新光美債20+
2020-05-08	00833B	第一金美債20+
2020-05-08	00834B	第一金金融債10+
2020-05-08	00835B	第一金科技債10+
2020-05-08	00836B	永豐10年A公司債
2020-05-08	00837B	永豐15年金融債
2020-05-08	00838B	永豐7-10年中國債
2020-05-08	00839B	凱基醫療保健債
2020-05-08	00840B	凱基IG精選15+
2020-05-08	00841B	凱基AAA-AA公司債
2020-05-08	00842B	台新美元銀行債
2020-05-08	00843B	台新中國政策債
2020-05-08	00844B	新光15年IG金融債
2020-05-08	00845B	富邦新興投等債
2020-05-08	00846B	富邦歐洲銀行債
2020-05-08	00847B	中信美國市政債
2020-05-08	00848B	中信新興亞洲債
2020-05-08	00849B	中信EM主權債0-5
2020-05-08	00853B	統一美債10年Aa-A
2020-05-08	00854B	富邦全球保險債
2020-05-08	00855B	富邦全球能源債
2020-05-08	00856B	永豐1-3年美公債
2020-05-08	00857B	永豐20年美公債
2020-05-08	00858	永豐美國500大
2020-05-08	00859B	群益0-1年美債
2020-05-08	00860B	群益1-5年IG債
2020-05-08	00862B	中信投資級公司債
2020-05-08	00863B	中信全球電信債
2020-05-08	00864B	中信美國公債0-1
2020-05-08	00867B	新光A-BBB電信債
2020-05-08	00868B	FT1-3年美公債
2020-05-08	00869B	FT10-25年公司債
2020-05-08	00870B	元大15年EM主權債
2020-05-08	00871B	元大中國政金債
2020-05-08	00872B	凱基美債1-3
2020-05-08	00873B	凱基新興債1-5
2020-05-08	00874B	凱基BBB公司債15+
