交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-03-30,MarginTrading,Common,1732,II568,1,43.3,18361,44.55,25000,0,0,22,0,61,63.0,133,1250.0,279.0,971.0,971.0,5.29%
2022-03-30,MarginTrading,Common,2328,IJ288,1,40.5,16557,41.25,24000,0,0,21,0,57,59.0,123,750.0,260.0,491.0,490.0,2.97%
2022-03-30,MarginTrading,Common,2481,IJ289,1,105.0,42149,106.5,63000,0,0,55,0,149,152.0,319,1500.0,675.0,826.0,825.0,1.96%
2022-03-30,MarginTrading,Common,2642,IJ292,1,77.7,31810,79.0,46000,0,0,40,0,110,113.0,237,1299.9999999999973,500.0,801.0,799.9999999999973,2.52%
2022-03-30,MarginTrading,Common,2743,IG743,1,45.3,23364,43.95,22000,0,0,19,0,64,63.0,131,-1349.9999999999943,277.0,-1626.0,-1626.9999999999943,-6.96%
2022-03-30,Cash,Common,3232,IG546,1,31.45,31494,30.2,0,0,0,0,0,44,43.0,90,-1250.0,177.0,-1427.0,-1427.0,-4.53%
2022-03-30,MarginTrading,Common,3708,IJ291,1,106.0,43151,107.5,63000,0,0,55,0,151,153.0,322,1500.0,681.0,819.0,819.0,1.9%
2022-03-30,MarginTrading,Common,4931,IG797,1,27.2,14238,27.4,13000,0,0,11,0,38,39.0,82,199.9999999999993,170.0,30.0,29.99999999999929,0.21%
2022-03-30,MarginTrading,Common,5285,IJ293,1,105.0,42149,103.5,63000,0,0,55,0,149,147.0,310,-1500.0,661.0,-2161.0,-2161.0,-5.13%
2022-03-29,Cash,Common,8033,II300,1,17.85,17875,17.3,0,0,0,0,0,25,25.0,51,-550.0000000000007,101.0,-650.0,-651.0000000000007,-3.64%
合計,,,,,10,,599300,,319000,0,0,278,0,848,857.0,1798,1850.0,3781.0,-1926.0,-1930.0,-0.32%
