交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-03-10,Cash,DayTrade,2033,IC840,1,24.7,24735,24.85,0,0,0,0,0,35,35.0,37,150.00000000000213,107.0,43.0,43.00000000000213,0.17%
2022-03-10,Cash,DayTrade,2064,ID428,1,26.2,26237,26.4,0,0,0,0,0,37,38.0,39,199.9999999999993,114.0,87.0,85.99999999999929,0.33%
2022-03-10,Cash,DayTrade,2607,IH725,1,42.4,42460,41.85,0,0,0,0,0,60,60.0,62,-549.9999999999972,182.0,-731.0,-731.9999999999972,-1.72%
2022-03-10,Cash,DayTrade,2611,IF239,1,26.05,26087,25.75,0,0,0,0,0,37,37.0,38,-300.0000000000007,112.0,-411.0,-412.0000000000007,-1.58%
2022-03-10,Cash,DayTrade,2641,IE861,1,27.4,27439,27.15,0,0,0,0,0,39,39.0,40,-250.0,118.0,-367.0,-368.0,-1.34%
2022-03-10,Cash,DayTrade,2641,IF682,1,27.65,27689,27.9,0,0,0,0,0,39,40.0,41,250.0,120.0,131.0,130.0,0.47%
2022-03-10,Cash,DayTrade,3017,ID437,1,122.5,122674,121.5,0,0,0,0,0,174,173.0,182,-1000.0,529.0,-1529.0,-1529.0,-1.25%
2022-03-10,Cash,DayTrade,4162,IE712,1,92.5,92631,92.0,0,0,0,0,0,131,131.0,138,-500.0,400.0,-900.0,-900.0,-0.97%
2022-03-10,Cash,DayTrade,5603,IG685,1,36.2,36251,36.55,0,0,0,0,0,51,52.0,54,349.9999999999943,157.0,193.0,192.99999999999432,0.53%
2022-03-10,Cash,DayTrade,5608,IE841,1,46.65,46716,46.0,0,0,0,0,0,66,66.0,69,-649.9999999999986,201.0,-850.0,-850.9999999999986,-1.82%
2022-03-10,Cash,DayTrade,5608,IF373,1,46.95,47016,47.4,0,0,0,0,0,66,68.0,71,449.99999999999574,205.0,246.0,244.99999999999574,0.52%
2022-03-10,Cash,DayTrade,6477,IC070,1,59.2,59284,59.8,0,0,0,0,0,84,85.0,89,599.9999999999943,258.0,342.0,341.9999999999943,0.58%
2022-03-10,Cash,DayTrade,8163,IF801,1,48.7,48769,48.4,0,0,0,0,0,69,69.0,72,-300.00000000000426,210.0,-509.0,-510.00000000000426,-1.04%
合計,,,,,13,,627100,,0,0,0,0,0,888,893.0,932,-1550.0,2713.0,-4255.0,-4263.0,-0.68%
