交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-02-21,Cash,DayTrade,1708,IB865,1,39.7,39756,38.95,0,0,0,0,0,56,56.0,58,-750.0,170.0,-919.0,-920.0,-2.31%
2022-02-21,Cash,DayTrade,2641,IB825,1,28.05,28089,28.35,0,0,0,0,0,39,40.0,42,300.0000000000007,121.0,179.0,179.00000000000068,0.64%
2022-02-21,Cash,DayTrade,2906,IC697,1,20.35,20378,20.3,0,0,0,0,0,28,29.0,30,-50.00000000000071,87.0,-136.0,-137.0000000000007,-0.67%
2022-02-21,Cash,DayTrade,5603,IB844,1,35.35,35400,35.7,0,0,0,0,0,50,51.0,53,350.0000000000014,154.0,197.0,196.00000000000142,0.56%
2022-02-21,Cash,DayTrade,5608,IB859,1,45.9,45965,46.4,0,0,0,0,0,65,66.0,69,500.0,200.0,300.0,300.0,0.65%
2022-02-21,Cash,DayTrade,5706,ID642,1,56.8,56880,56.8,0,0,0,0,0,80,81.0,85,0.0,246.0,-245.0,-246.0,-0.43%
合計,,,,,6,,226150,,0,0,0,0,0,318,323.0,337,350.0,978.0,-624.0,-627.0,-0.28%
