交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-04-20,Cash,DayTrade,1605,II278,1,44.25,44313,43.15,0,0,0,0,0,63,61.0,64,-1100.0000000000014,188.0,-1288.0,-1288.0000000000014,-2.91%
2022-04-20,Cash,DayTrade,1762,IC107,9,66.9,602958,66.1,0,0,0,0,0,858,94.0,892,-7200.000000000102,1844.0,-9797.0,-9044.000000000102,-1.62%
2022-04-20,Cash,DayTrade,1762,IC509,11,66.4,731440,65.6,0,0,0,0,0,1040,93.0,1082,-8800.000000000126,2215.0,-11950.0,-11015.000000000126,-1.63%
2022-04-20,Cash,DayTrade,1762,IC107,2,66.9,133990,65.7,0,0,0,0,0,190,94.0,197,-2400.0000000000055,481.0,-11855.0,-2881.0000000000055,-1.62%
2022-04-20,Cash,DayTrade,1762,IC509,9,66.4,598452,65.7,0,0,0,0,0,852,94.0,886,-6300.0000000000255,1832.0,-11855.0,-8132.0000000000255,-1.62%
2022-04-20,Cash,DayTrade,1762,IC107,9,66.9,602958,65.8,0,0,0,0,0,858,94.0,888,-9900.000000000078,1840.0,-12489.0,-11740.000000000078,-2.07%
2022-04-20,Cash,DayTrade,1762,ID179,5,66.3,331972,66.0,0,0,0,0,0,472,94.0,495,-1499.999999999986,1061.0,-2937.0,-2560.999999999986,-0.88%
2022-04-20,Cash,DayTrade,2243,IH421,1,18.6,18626,18.8,0,0,0,0,0,26,27.0,28,199.9999999999993,81.0,120.0,118.99999999999929,0.64%
2022-04-20,Cash,DayTrade,2344,IH356,10,28.2,282401,28.1,0,0,0,0,0,401,40.0,421,-999.9999999999786,862.0,-2222.0,-1861.9999999999786,-0.79%
2022-04-20,Cash,DayTrade,2417,II280,1,29.35,29391,28.8,0,0,0,0,0,41,41.0,43,-550.0000000000007,125.0,-675.0,-675.0000000000007,-2.3%
2022-04-20,Cash,DayTrade,2465,IG672,1,65.1,65192,65.7,0,0,0,0,0,92,94.0,98,600.0000000000085,284.0,317.0,316.0000000000085,0.49%
2022-04-20,Cash,DayTrade,3189,IF111,1,192.5,192774,191.5,0,0,0,0,0,274,273.0,287,-1000.0,834.0,-1833.0,-1834.0,-0.95%
2022-04-20,Cash,DayTrade,3434,IC408,1,31.85,31895,32.2,0,0,0,0,0,45,46.0,48,350.0000000000014,139.0,212.0,211.00000000000142,0.66%
2022-04-20,Cash,DayTrade,4931,IC251,1,37.05,37102,37.35,0,0,0,0,0,52,53.0,56,300.00000000000426,161.0,139.0,139.00000000000426,0.37%
合計,,,,,62,,3698200,,0,0,0,0,0,5264,1198.0,5485,-38300.0,11947.0,-66113.0,-50247.0,-1.36%
