交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-03-24,MarginTrading,Common,1514,IJ146,1,29.1,12141,28.7,17000,0,0,3,0,41,41.0,86,-400.00000000000216,171.0,-570.0,-571.0000000000022,-4.69%
2022-03-24,MarginTrading,Common,1529,IC846,2,27.35,33777,28.2,21000,0,0,4,0,77,40.0,169,1699.9999999999957,290.0,1370.0,1409.9999999999957,4.06%
2022-03-24,MarginTrading,Common,1609,IJ148,1,27.75,11789,28.25,16000,0,0,3,0,39,40.0,84,500.0,166.0,334.0,334.0,2.83%
2022-03-24,MarginTrading,Common,1711,IJ147,1,27.05,11088,28.0,16000,0,0,3,0,38,40.0,84,949.9999999999993,165.0,786.0,784.9999999999993,7.09%
2022-03-24,MarginTrading,Common,1721,IJ149,1,24.3,10334,23.7,14000,0,0,2,0,34,34.0,71,-600.0000000000014,141.0,-740.0,-741.0000000000014,-7.16%
2022-03-25,MarginTrading,Common,1732,IE030,2,38.4,76909,39.05,0,0,0,0,0,109,56.0,234,1299.9999999999973,399.0,784.0,900.9999999999973,1.02%
2022-03-24,MarginTrading,Common,2034,IJ150,1,37.15,15202,37.5,22000,0,0,4,0,52,53.0,112,350.0000000000014,221.0,129.0,129.00000000000142,0.85%
2022-03-24,MarginTrading,Common,2457,IJ151,1,45.9,18965,46.65,27000,0,0,5,0,65,66.0,139,750.0,275.0,475.0,475.0,2.5%
2022-03-24,MarginTrading,Common,3062,IJ152,1,26.35,11387,26.8,15000,0,0,3,0,37,38.0,80,449.9999999999993,158.0,292.0,291.9999999999993,2.56%
2022-03-24,MarginTrading,Common,8054,IE620,1,60.8,24886,61.9,36000,0,0,6,0,86,88.0,185,1100.0000000000014,365.0,735.0,735.0000000000014,2.95%
2022-03-24,MarginTrading,Common,8155,IE895,1,198.0,80282,201.0,118000,0,0,21,0,282,286.0,603,3000.0,1192.0,1808.0,1808.0,2.25%
合計,,,,,13,,607900,,302000,0,0,54,0,860,782.0,1847,9099.0,3543.0,5403.0,5556.0,0.91%
