交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-02-17,Cash,DayTrade,1560,IB965,1,113.5,113661,114.5,0,0,0,0,0,161,163.0,171,1000.0,495.0,505.0,505.0,0.44%
2022-02-17,Cash,DayTrade,2457,IC185,1,48.4,48468,47.85,0,0,0,0,0,68,68.0,71,-549.9999999999972,207.0,-757.0,-756.9999999999972,-1.56%
2022-02-17,Cash,DayTrade,2906,IC093,1,17.4,17424,17.6,0,0,0,0,0,24,25.0,26,200.00000000000284,75.0,125.0,125.00000000000284,0.72%
2022-02-17,Cash,DayTrade,3006,ID826,1,156.5,156723,153.5,0,0,0,0,0,223,219.0,230,-3000.0,672.0,-3671.0,-3672.0,-2.34%
2022-02-17,Cash,DayTrade,5351,IC012,1,84.5,84620,85.2,0,0,0,0,0,120,121.0,127,700.0000000000028,368.0,332.0,332.00000000000284,0.39%
2022-02-17,Cash,DayTrade,6118,IC049,1,34.2,34248,33.6,0,0,0,0,0,48,48.0,50,-600.0000000000014,146.0,-745.0,-746.0000000000014,-2.18%
2022-02-17,Cash,DayTrade,6485,ID873,1,152.0,152216,149.0,0,0,0,0,0,216,212.0,223,-3000.0,651.0,-3651.0,-3651.0,-2.4%
合計,,,,,7,,606500,,0,0,0,0,0,860,856.0,898,-5249.0,2614.0,-7862.0,-7863.0,-1.3%
