交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-03-23,Cash,DayTrade,1516,IF335,1,29.75,29792,28.5,0,0,0,0,0,42,41.0,42,-1250.0,125.0,-1374.0,-1375.0,-4.61%
2022-03-23,Cash,DayTrade,1516,IF509,1,30.75,30793,30.35,0,0,0,0,0,43,43.0,45,-399.9999999999986,131.0,-531.0,-530.9999999999986,-1.72%
2022-03-23,Cash,DayTrade,1516,IG262,2,29.5,59084,29.75,0,0,0,0,0,84,42.0,89,500.0,215.0,243.0,285.0,0.41%
2022-03-23,Cash,DayTrade,1708,IH914,1,49.8,49870,48.85,0,0,0,0,0,70,70.0,73,-949.9999999999957,213.0,-1162.0,-1162.9999999999957,-2.33%
2022-03-23,Cash,DayTrade,4755,IE014,1,216.0,216307,213.0,0,0,0,0,0,307,304.0,319,-3000.0,930.0,-3929.0,-3930.0,-1.82%
2022-03-23,Cash,DayTrade,4755,IH264,1,205.0,205292,208.0,0,0,0,0,0,292,296.0,312,3000.0,900.0,2100.0,2100.0,1.02%
2022-03-23,Cash,DayTrade,5321,IB891,1,154.5,154720,156.5,0,0,0,0,0,220,223.0,234,2000.0,677.0,1323.0,1323.0,0.86%
2022-03-23,Cash,DayTrade,8111,IB875,1,28.2,28240,28.5,0,0,0,0,0,40,41.0,42,300.0000000000007,123.0,178.0,177.00000000000068,0.63%
2022-03-23,Cash,DayTrade,8440,IG119,1,76.6,76709,75.0,0,0,0,0,0,109,107.0,112,-1599.9999999999943,328.0,-1927.0,-1927.9999999999943,-2.51%
2022-03-23,Cash,DayTrade,9955,IH968,1,33.2,33247,32.6,0,0,0,0,0,47,46.0,48,-600.0000000000014,141.0,-741.0,-741.0000000000014,-2.23%
合計,,,,,11,,882800,,0,0,0,0,0,1254,1213.0,1316,-1999.0,3783.0,-5820.0,-5782.0,-0.65%
