交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-03-25,Cash,DayTrade,1514,IE449,2,28.95,57982,28.7,0,0,0,0,0,82,41.0,86,-500.0,209.0,-749.0,-709.0,-1.29%
2022-03-25,Cash,DayTrade,1529,ID721,1,28.15,28190,27.55,0,0,0,0,0,40,39.0,41,-599.9999999999978,120.0,-720.0,-719.9999999999978,-2.55%
2022-03-25,Cash,DayTrade,1529,II317,1,26.65,26687,27.35,0,0,0,0,0,37,39.0,41,700.0000000000028,117.0,584.0,583.0000000000028,2.19%
2022-03-25,Cash,DayTrade,1721,IE389,2,24.1,48268,23.65,0,0,0,0,0,68,34.0,70,-900.0000000000057,172.0,-1105.0,-1072.0000000000057,-2.29%
2022-03-25,Cash,DayTrade,1732,IC020,1,38.45,38504,37.8,0,0,0,0,0,54,54.0,56,-650.0000000000057,164.0,-813.0,-814.0000000000057,-2.11%
2022-03-25,Cash,DayTrade,2497,II115,1,100.5,100643,101.5,0,0,0,0,0,143,145.0,152,1000.0,440.0,561.0,560.0,0.56%
2022-03-25,Cash,DayTrade,8024,IC078,1,28.9,28941,29.2,0,0,0,0,0,41,42.0,43,300.0000000000007,126.0,175.0,174.00000000000068,0.6%
2022-03-25,Cash,DayTrade,8069,IC056,1,180.5,180757,177.0,0,0,0,0,0,257,252.0,265,-3500.0,774.0,-4274.0,-4274.0,-2.36%
2022-03-25,Cash,DayTrade,8069,II313,1,176.0,176250,175.5,0,0,0,0,0,250,250.0,263,-500.0,763.0,-1263.0,-1263.0,-0.72%
2022-03-25,Cash,DayTrade,9927,IC467,1,46.45,46516,46.9,0,0,0,0,0,66,67.0,70,449.99999999999574,203.0,248.0,246.99999999999574,0.53%
合計,,,,,12,,731700,,0,0,0,0,0,1038,963.0,1087,-4200.0,3088.0,-7356.0,-7288.0,-1.0%
