交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-02-10,Cash,DayTrade,5344,IB887,1,27.7,27739,27.1,0,0,0,0,0,39,39.0,40,-599.9999999999978,118.0,-717.0,-717.9999999999978,-2.58%
合計,,,,,1,,27700,,0,0,0,0,0,39,39.0,40,-599.0,118.0,-717.0,-717.0,-2.59%
