交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-03-18,Cash,DayTrade,1795,IE408,1,111.5,111658,107.5,0,0,0,0,0,158,153.0,161,-4000.0,472.0,-4472.0,-4472.0,-4.01%
2022-03-18,Cash,DayTrade,1795,IE415,1,112.0,112159,113.0,0,0,0,0,0,159,161.0,169,1000.0,489.0,511.0,511.0,0.46%
2022-03-18,Cash,DayTrade,2538,IH932,1,12.8,12818,12.65,0,0,0,0,0,18,18.0,18,-150.00000000000034,54.0,-204.0,-204.00000000000034,-1.59%
2022-03-18,Cash,DayTrade,3006,IC058,1,177.0,177252,178.5,0,0,0,0,0,252,254.0,267,1500.0,773.0,727.0,727.0,0.41%
2022-03-18,Cash,DayTrade,3141,IC277,1,164.5,164734,166.5,0,0,0,0,0,234,237.0,249,2000.0,720.0,1280.0,1280.0,0.78%
2022-03-18,Cash,DayTrade,3491,IC306,1,163.5,163732,165.0,0,0,0,0,0,232,235.0,247,1500.0,714.0,786.0,786.0,0.48%
2022-03-18,Cash,DayTrade,3532,IC070,1,319.0,319454,322.0,0,0,0,0,0,454,459.0,483,3000.0,1396.0,1605.0,1604.0,0.5%
2022-03-18,Cash,DayTrade,3624,IC363,1,79.6,79713,80.2,0,0,0,0,0,113,114.0,120,600.0000000000085,347.0,253.0,253.00000000000853,0.32%
2022-03-18,Cash,DayTrade,3661,IH931,1,917.0,918306,933.0,0,0,0,0,0,1306,1330.0,1399,16000.0,4035.0,11966.0,11965.0,1.3%
2022-03-18,Cash,DayTrade,3707,ID213,1,128.0,128182,129.0,0,0,0,0,0,182,184.0,193,1000.0,559.0,442.0,441.0,0.34%
2022-03-18,Cash,DayTrade,4743,IH680,1,227.0,227323,219.0,0,0,0,0,0,323,312.0,328,-8000.0,963.0,-8963.0,-8963.0,-3.94%
2022-03-18,Cash,DayTrade,4743,IH718,1,228.0,228324,230.5,0,0,0,0,0,324,328.0,345,2500.0,997.0,1503.0,1503.0,0.66%
2022-03-18,Cash,DayTrade,5425,IC170,1,77.9,78011,78.6,0,0,0,0,0,111,112.0,117,699.9999999999886,340.0,360.0,359.99999999998863,0.46%
2022-03-18,Cash,DayTrade,6104,IC039,1,298.0,298424,293.0,0,0,0,0,0,424,418.0,439,-5000.0,1281.0,-6280.0,-6281.0,-2.1%
2022-03-18,Cash,DayTrade,6104,IH925,1,284.5,284905,290.0,0,0,0,0,0,405,413.0,435,5500.0,1253.0,4247.0,4247.0,1.49%
合計,,,,,15,,3300300,,0,0,0,0,0,4695,4728.0,4970,18149.0,14393.0,3761.0,3756.0,0.11%
