交易日期,委託種類,交易別,商品代碼,委託單號,數量,進場價格,進場成本,出場價格,融資金額,擔保品,保證金,利息,借券費,進場手續費,出場手續費,交易稅,獲利,總交易成本,淨損益,總損益(自結),報酬率
2022-03-11,MarginTrading,Common,1231,II978,1,83.6,33719,84.7,50000,0,0,9,0,119,121.0,254,1100.0000000000086,503.0,598.0,597.0000000000086,1.77%
2022-03-11,MarginTrading,Common,1802,II977,1,24.5,10534,24.9,14000,0,0,2,0,34,35.0,74,399.9999999999986,145.0,255.0,254.99999999999858,2.42%
2022-03-11,MarginTrading,Common,2012,II775,1,31.55,13594,32.25,18000,0,0,3,0,44,46.0,96,699.9999999999993,189.0,512.0,510.9999999999993,3.77%
2022-03-11,MarginTrading,Common,2363,II776,1,23.4,9433,23.8,14000,0,0,2,0,33,34.0,71,400.00000000000216,140.0,261.0,260.00000000000216,2.77%
2022-03-11,Cash,Common,2405,II777,1,15.4,15421,14.7,0,0,0,0,0,21,21.0,44,-700.000000000001,86.0,-785.0,-786.000000000001,-5.09%
2022-03-11,Cash,Common,3011,II778,1,13.05,13068,13.2,0,0,0,0,0,18,19.0,39,149.99999999999858,76.0,75.0,73.99999999999858,0.57%
2022-03-11,MarginTrading,Common,6187,II982,1,139.0,56198,144.0,83000,0,0,14,0,198,205.0,432,5000.0,849.0,4151.0,4151.0,7.39%
2022-03-11,MarginTrading,Common,6231,II781,1,110.0,44156,104.0,66000,0,0,11,0,156,148.0,312,-6000.0,627.0,-6627.0,-6627.0,-15.01%
2022-03-11,MarginTrading,Common,6235,II984,1,31.65,13695,32.5,18000,0,0,3,0,45,46.0,97,850.0000000000014,191.0,659.0,659.0000000000014,4.81%
2022-03-11,MarginTrading,Common,9933,II983,1,44.15,18212,44.65,26000,0,0,5,0,62,64.0,133,500.0,264.0,237.0,236.0,1.3%
合計,,,,,10,,516300,,289000,0,0,49,0,730,739.0,1552,2400.0,3070.0,-664.0,-669.0,-0.13%
