Date	Ticker	Open	High	Low	Close	Volume	Value	Adj Close
2015-01-08	8050	52.6	53.1	52.6	53	282000	14914700	53
2015-01-08	8053	2.11	2.17	2.06	2.06	39000	82790	2.06
2015-01-08	8054	28.3	28.5	28.1	28.5	297000	8381100	28.5
2015-01-08	8059	16.95	17.05	16.7	16.8	622000	10462350	16.8
2015-01-08	8064	21.1	21.3	20.95	20.95	1292000	27258200	20.95
2015-01-08	8066	80.8	80.8	79.5	79.5	78000	6259400	79.5
2015-01-08	8067	7.16	7.28	7.07	7.07	19000	135190	7.07
2015-01-08	8068					0	0	
2015-01-08	8069	14.8	15.2	14.75	14.9	13490000	202265350	14.9
2015-01-08	8071	20.3	20.4	20.2	20.2	26000	526750	20.2
2015-01-08	8074	29.3	29.3	28.65	28.7	411000	11841350	28.7
2015-01-08	8076	109.5	112	109	109	4498000	495612000	109
2015-01-08	8077	56.9	58.5	55	57	6000	339400	57
2015-01-08	8079	15.5	15.55	15.5	15.55	135000	2093550	15.55
2015-01-08	8080	22.2	22.45	22	22	521000	11543550	22
2015-01-08	8082	3.11	3.11	3.1	3.1	16000	49660	3.1
2015-01-08	8083	125	126	125	126	11000	1379500	126
2015-01-08	8084	22.95	22.95	22.4	22.5	122000	2764700	22.5
2015-01-08	8085	9.6	9.6	9.16	9.27	649000	6093560	9.27
2015-01-08	8086	41	41.35	40.55	40.7	5124000	209573550	40.7
2015-01-08	8087	10.6	10.65	10.6	10.65	26000	275700	10.65
2015-01-08	8088	23.4	23.8	23.4	23.5	242000	5714850	23.5
2015-01-08	8091	52	52.7	51.9	52.2	74000	3876900	52.2
2015-01-08	8092	14	14.1	13.7	13.9	65000	901750	13.9
2015-01-08	8093	7.42	7.42	7.28	7.28	80000	587170	7.28
2015-01-08	8096	13.2	13.6	13.2	13.25	724000	9675650	13.25
2015-01-08	8097	9.89	9.89	9.8	9.8	16000	157290	9.8
2015-01-08	8099	23.4	23.85	23.4	23.55	687000	16172550	23.55
2015-01-08	8107	22.5	22.65	22.35	22.5	204000	4576350	22.5
2015-01-08	8109	69.3	69.5	67.9	68	732000	50183200	68
2015-01-08	8111	5.9	6.09	5.9	5.92	298000	1775630	5.92
2015-01-08	8121	33.8	34.1	33.55	33.55	772000	26099800	33.55
2015-01-08	8147	37.8	38	37.6	37.7	119000	4510150	37.7
2015-01-08	8155	39.5	40.5	39.05	40.45	483000	19211950	40.45
2015-01-08	8171	19.35	19.35	18.9	19	1846000	35407750	19
2015-01-08	8176	10.5	10.8	9.98	10	963000	10031430	10
2015-01-08	8182	16.7	17.25	16.7	17.2	501000	8508950	17.2
2015-01-08	8183	9.47	9.57	9.42	9.48	197000	1864760	9.48
2015-01-08	8234	55.6	55.8	53.9	53.9	4971000	272264000	53.9
2015-01-08	8240	32.8	34.95	32.8	34.85	990000	33936350	34.85
2015-01-08	8255	110	111	108	109	529000	57872000	109
2015-01-08	8266	58.5	59.5	58	59.5	35000	2047600	59.5
2015-01-08	8277	15.7	15.8	15.45	15.6	402000	6254300	15.6
2015-01-08	8287	19.9	21	19.75	20.4	1786000	36483950	20.4
2015-01-08	8289	13.6	13.6	13.5	13.5	86000	1165550	13.5
2015-01-08	8291	6.16	6.18	6.16	6.18	10000	61660	6.18
2015-01-08	8299	219.5	228	219	225.5	2600000	583625000	225.5
2015-01-08	8349	101	101	100	100	44000	4427000	100
2015-01-08	8354	16.8	17	16.6	16.75	213000	3566850	16.75
2015-01-08	8358	9.96	9.99	9.95	9.98	86000	857550	9.98
2015-01-08	8383	36.1	36.65	35.95	36.1	1526000	55325800	36.1
2015-01-08	8390	18.15	18.15	18	18	84000	1517900	18
2015-01-08	8401	16.1	16.25	16	16.1	200000	3219950	16.1
2015-01-08	8403	36.2	36.2	35.5	36	142000	5103000	36
2015-01-08	8406	312.5	329	302.5	328	2043000	644158500	328
2015-01-08	8409	40.2	40.2	39.6	39.6	64000	2546650	39.6
2015-01-08	8410	38.55	38.85	38.55	38.65	148000	5723450	38.65
2015-01-08	8416	129	129.5	125	127	58000	7339500	127
2015-01-08	8418	24.15	24.15	23	23.45	133000	3113600	23.45
2015-01-08	8420	16.85	16.95	16.7	16.85	97000	1633850	16.85
2015-01-08	8421	12.1	12.8	12.1	12.25	485000	6158850	12.25
2015-01-08	8423	26.75	26.75	26.75	26.75	1000	26750	26.75
2015-01-08	8424	40.45	40.45	39.9	40.35	11000	440500	40.35
2015-01-08	8426	57.6	58.3	56.9	57.9	70000	4029300	57.9
2015-01-08	8432	58	58	55.1	56.2	255000	14251500	56.2
2015-01-08	8433	47	47.3	46.3	46.3	92000	4307350	46.3
2015-01-08	8435	52.5	52.6	52.4	52.5	69000	3621600	52.5
