Ticker	Name	Buy	Sell	OverBS	Date
700801	寶來WR	560	3670	-3110	2011-01-11
701447	永豐P7	0	2314	-2314	2011-01-11
700919	兆豐VJ	494	2781	-2287	2011-01-11
700915	群益W6	70	2159	-2089	2011-01-11
701086	寶來Q3	758	2494	-1736	2011-01-11
700609	群益S6	8	1392	-1384	2011-01-11
701500	永豐Q9	30	1285	-1255	2011-01-11
701080	永豐UU	0	1120	-1120	2011-01-11
700628	永豐QA	0	1089	-1089	2011-01-11
700726	永豐RE	124	1200	-1076	2011-01-11
701123	元大VW	190	1261	-1071	2011-01-11
701096	元富T8	719	1749	-1030	2011-01-11
701395	永豐XS	193	1055	-862	2011-01-11
701363	群益QA	109	959	-850	2011-01-11
701445	永豐P5	0	698	-698	2011-01-11
701350	元大Q3	80	759	-679	2011-01-11
701510	凱基TQ	0	613	-613	2011-01-11
700950	永豐TM	116	706	-590	2011-01-11
701144	國泰VR	222	783	-561	2011-01-11
701047	元大VT	83	638	-555	2011-01-11
701128	永豐VG	0	540	-540	2011-01-11
701230	元大WT	321	856	-535	2011-01-11
701357	大華Y2	114	641	-527	2011-01-11
701433	國泰WG	198	723	-525	2011-01-11
701055	凱基SY	21	539	-518	2011-01-11
70058P	日盛VA	110	617	-507	2011-01-11
700882	寶來WZ	250	756	-506	2011-01-11
701393	永豐XQ	13	501	-488	2011-01-11
700980	大華U4	76	557	-481	2011-01-11
701437	寶來T4	100	570	-470	2011-01-11
701240	大華W6	110	547	-437	2011-01-11
701263	寶來S1	38	475	-437	2011-01-11
701399	群益QG	0	431	-431	2011-01-11
700730	統一UN	0	401	-401	2011-01-11
700971	永豐TY	0	396	-396	2011-01-11
701266	寶來S4	144	500	-356	2011-01-11
701366	元富V6	486	828	-342	2011-01-11
700709	寶來WH	871	1212	-341	2011-01-11
701368	元富V8	381	718	-337	2011-01-11
700934	康和R4	42	371	-329	2011-01-11
701313	永豐WV	347	676	-329	2011-01-11
701414	元富W3	0	328	-328	2011-01-11
701046	元大VS	65	378	-313	2011-01-11
701373	日盛VR	49	362	-313	2011-01-11
701193	富邦RR	904	1213	-309	2011-01-11
701084	永豐UY	403	706	-303	2011-01-11
701411	永豐XX	173	473	-300	2011-01-11
700687	永豐QQ	0	297	-297	2011-01-11
700728	永豐RG	0	297	-297	2011-01-11
701322	群益PW	204	494	-290	2011-01-11
701211	凱基TF	32	313	-281	2011-01-11
700819	凱基SM	35	315	-280	2011-01-11
8925	偉盟	2	281	-279	2011-01-11
701189	工銀SZ	0	278	-278	2011-01-11
701155	永豐VN	200	469	-269	2011-01-11
701365	群益QC	519	785	-266	2011-01-11
701003	大華U7	90	354	-264	2011-01-11
701439	永豐XZ	67	331	-264	2011-01-11
701066	國泰VM	611	873	-262	2011-01-11
701416	群益QJ	90	352	-262	2011-01-11
701165	元大WF	749	1010	-261	2011-01-11
701215	永豐VX	0	259	-259	2011-01-11
5326	漢磊	439	696	-257	2011-01-11
700853	永豐SR	0	255	-255	2011-01-11
700748	群益U2	0	252	-252	2011-01-11
700983	康和R7	68	317	-249	2011-01-11
701443	永豐P4	0	240	-240	2011-01-11
700849	群益V7	0	239	-239	2011-01-11
3354	律勝	11	249	-238	2011-01-11
700742	國泰VA	613	850	-237	2011-01-11
701361	日盛VN	198	434	-236	2011-01-11
700648	元大TW	0	235	-235	2011-01-11
700925	日盛UJ	51	285	-234	2011-01-11
701315	兆豐VV	280	513	-233	2011-01-11
700949	永豐TL	50	280	-230	2011-01-11
701071	元大VU	172	402	-230	2011-01-11
700811	國票T7	0	223	-223	2011-01-11
701113	大華W1	10	229	-219	2011-01-11
701289	富邦RX	416	634	-218	2011-01-11
701136	寶來Q5	25	240	-215	2011-01-11
701349	元大Q2	0	214	-214	2011-01-11
700743	國泰VB	133	341	-208	2011-01-11
701116	國泰VP	0	205	-205	2011-01-11
701262	兆豐VU	255	458	-203	2011-01-11
3095	及成	6	208	-202	2011-01-11
701534	國泰WQ	0	197	-197	2011-01-11
5009	榮剛	169	360	-191	2011-01-11
701353	元大Q6	220	411	-191	2011-01-11
700808	日盛UE	0	190	-190	2011-01-11
701058	大華V3	10	199	-189	2011-01-11
701184	元富U1	10	199	-189	2011-01-11
701229	統一VU	30	218	-188	2011-01-11
701170	國泰VT	393	580	-187	2011-01-11
700485	元大SX	0	186	-186	2011-01-11
701471	國泰WL	0	185	-185	2011-01-11
700985	康和R9	0	184	-184	2011-01-11
701190	工銀TA	15	198	-183	2011-01-11
6127	九豪	20	200	-180	2011-01-11
701172	元大WG	170	350	-180	2011-01-11
701309	寶來S7	52	232	-180	2011-01-11
700546	富邦QS	2125	30	2095	2011-01-11
701430	群益QK	1385	0	1385	2011-01-11
6147	頎邦	1520	440	1080	2011-01-11
701420	元大R6	1177	144	1033	2011-01-11
700805	大華S8	1017	15	1002	2011-01-11
701324	日盛VF	980	0	980	2011-01-11
5820	日盛金	2316	1461	855	2011-01-11
701233	元大WX	907	62	845	2011-01-11
701111	大華V8	858	50	808	2011-01-11
701221	寶來R5	948	140	808	2011-01-11
700845	寶來WX	884	91	793	2011-01-11
700953	永豐TQ	800	36	764	2011-01-11
700735	凱基SG	1363	620	743	2011-01-11
1785	光洋科	965	262	703	2011-01-11
701330	永昌QU	802	100	702	2011-01-11
700917	群益W8	695	11	684	2011-01-11
5483	中美晶	835	202	633	2011-01-11
700693	永豐QS	626	0	626	2011-01-11
700755	永豐RL	617	10	607	2011-01-11
701001	富邦RN	615	11	604	2011-01-11
70052P	凱基SR	850	255	595	2011-01-11
700943	國泰VE	664	78	586	2011-01-11
701452	永豐Q3	646	103	543	2011-01-11
700883	寶來P1	817	288	529	2011-01-11
700719	永豐RA	898	403	495	2011-01-11
700549	富邦QV	502	34	468	2011-01-11
700379	群益P7	459	0	459	2011-01-11
701285	永豐WM	520	70	450	2011-01-11
701386	元大Q9	1329	883	446	2011-01-11
701125	元大VZ	455	30	425	2011-01-11
8935	邦泰	420	0	420	2011-01-11
700611	工銀SQ	400	0	400	2011-01-11
700859	大華T2	399	0	399	2011-01-11
700717	元大UC	396	0	396	2011-01-11
700828	工銀SU	769	375	394	2011-01-11
701163	元大WC	485	94	391	2011-01-11
701397	永豐XU	407	20	387	2011-01-11
700954	永豐TR	458	80	378	2011-01-11
701121	日盛VD	455	78	377	2011-01-11
700432	群益Q4	731	355	376	2011-01-11
700973	永豐UA	395	32	363	2011-01-11
700455	永豐W9	386	25	361	2011-01-11
701278	元大P6	581	220	361	2011-01-11
701204	元大WM	739	384	355	2011-01-11
8069	元太	559	214	345	2011-01-11
700566	永豐PU	338	0	338	2011-01-11
700689	群益T2	326	0	326	2011-01-11
701269	亞東R5	325	0	325	2011-01-11
701287	群益PV	557	235	322	2011-01-11
700673	統一UH	300	0	300	2011-01-11
701238	國泰VW	640	340	300	2011-01-11
701300	永豐WS	300	0	300	2011-01-11
701327	日盛VJ	300	0	300	2011-01-11
700390	大華P6	297	0	297	2011-01-11
701042	元大VN	616	328	288	2011-01-11
701157	永豐VQ	518	232	286	2011-01-11
701246	永豐WD	310	27	283	2011-01-11
700595	日盛TP	280	0	280	2011-01-11
700400	統一TM	278	0	278	2011-01-11
700812	國票T8	257	0	257	2011-01-11
700473	凱基RX	296	40	256	2011-01-11
700885	寶來P3	418	165	253	2011-01-11
701206	元大WQ	549	299	250	2011-01-11
