Ticker	Name	Buy	Sell	OverBS	Date
5351	鈺創	9122000	14065000	-4943000	2021-07-22
8086	宏捷科	1383000	6317000	-4934000	2021-07-22
3707	漢磊	4338000	8602000	-4264000	2021-07-22
8096	擎亞	895000	3522000	-2627000	2021-07-22
5328	華容	1135000	3570000	-2435000	2021-07-22
3317	尼克森	2185000	4575000	-2390000	2021-07-22
6175	立敦	2146000	4007000	-1861000	2021-07-22
8415	大國鋼	3212000	5011000	-1799000	2021-07-22
5498	凱崴	350000	1816000	-1466000	2021-07-22
6290	良維	2049000	3407000	-1358000	2021-07-22
6161	捷波	583000	1919000	-1336000	2021-07-22
722348	大宇資麥證12購01	400000	1727000	-1327000	2021-07-22
5439	高技	306000	1518000	-1212000	2021-07-22
3264	欣銓	2473000	3612000	-1139000	2021-07-22
6509	聚和	1719000	2822000	-1103000	2021-07-22
5014	建錩	2023000	3112000	-1089000	2021-07-22
6261	久元	764000	1792000	-1028000	2021-07-22
6016	康和證	874000	1697000	-823000	2021-07-22
6223	旺矽	962000	1738000	-776000	2021-07-22
3374	精材	829000	1592000	-763000	2021-07-22
6170	統振	369000	1091000	-722000	2021-07-22
5009	榮剛	3086000	3783000	-697000	2021-07-22
9962	有益	1113000	1763000	-650000	2021-07-22
5475	德宏	850000	1476000	-626000	2021-07-22
6432	今展科	158000	784000	-626000	2021-07-22
8183	精星	1553000	2172000	-619000	2021-07-22
6187	萬潤	597000	1195000	-598000	2021-07-22
6547	高端疫苗	236000	771000	-535000	2021-07-22
4721	美琪瑪	780000	1314000	-534000	2021-07-22
6472	保瑞	182000	689000	-507000	2021-07-22
4973	廣穎	368000	864000	-496000	2021-07-22
6237	驊訊	1348000	1812000	-464000	2021-07-22
5299	杰力	324000	765000	-441000	2021-07-22
4105	東洋	126000	492000	-366000	2021-07-22
6127	九豪	1831000	2188000	-357000	2021-07-22
3213	茂訊	288000	623000	-335000	2021-07-22
5213	亞昕	16000	345000	-329000	2021-07-22
8431	匯鑽科	894000	1220000	-326000	2021-07-22
5512	力麒	74000	397000	-323000	2021-07-22
8406	金可-KY	94000	414000	-319000	2021-07-22
5483	中美晶	1537000	1847000	-309000	2021-07-22
5291	邑昇	32000	341000	-309000	2021-07-22
3202	樺晟	590000	881000	-291000	2021-07-22
5302	太欣	681000	953000	-272000	2021-07-22
8924	大田	206000	474000	-268000	2021-07-22
5309	系統電	316000	575000	-259000	2021-07-22
8024	佑華	626000	874000	-248000	2021-07-22
719274	璟德麥證0B購01	200000	425000	-225000	2021-07-22
720429	原相麥證0A購01	21000	246000	-225000	2021-07-22
3625	西勝	247000	465000	-218000	2021-07-22
8289	泰藝	620000	831000	-211000	2021-07-22
721407	威剛麥證0C購02	509000	716000	-207000	2021-07-22
6104	創惟	180000	386000	-206000	2021-07-22
8927	北基	55000	251000	-196000	2021-07-22
4121	優盛	94000	284000	-190000	2021-07-22
721851	匯鑽科凱基0C購01	0	185000	-185000	2021-07-22
3666	光耀	113000	293000	-180000	2021-07-22
718953	旺矽麥證09購01	142000	308000	-166000	2021-07-22
6488	環球晶	650000	813000	-163000	2021-07-22
3176	基亞	52000	212000	-160000	2021-07-22
00679B	元大美債20年	4000	162000	-158000	2021-07-22
4971	IET-KY	55000	211000	-156000	2021-07-22
4966	譜瑞-KY	215000	371000	-156000	2021-07-22
6435	大中	220000	370000	-150000	2021-07-22
722530	凡甲麥證12購01	0	148000	-148000	2021-07-22
5529	志嘉	20000	167000	-147000	2021-07-22
5438	東友	352000	497000	-145000	2021-07-22
4114	健喬	29000	173000	-144000	2021-07-22
718789	群聯麥證09購01	0	125000	-125000	2021-07-22
3178	公準	96000	211000	-115000	2021-07-22
6244	茂迪	376000	489000	-113000	2021-07-22
3362	先進光	498000	595000	-97000	2021-07-22
8038	長園科	40000	133000	-93000	2021-07-22
6207	雷科	852000	940000	-88000	2021-07-22
4406	新昕纖	82000	168000	-86000	2021-07-22
1565	精華	369000	451000	-82000	2021-07-22
2064	晉椿	88000	166000	-78000	2021-07-22
721761	久元麥證11購01	115000	193000	-78000	2021-07-22
6233	旺玖	1862000	1937000	-75000	2021-07-22
4171	瑞基	45000	117000	-72000	2021-07-22
718004	宏捷科元大08購03	0	70000	-70000	2021-07-22
3624	光頡	891000	958000	-67000	2021-07-22
6148	驊宏資	72000	139000	-67000	2021-07-22
4168	醣聯	47000	112000	-65000	2021-07-22
3081	聯亞	128000	192000	-64000	2021-07-22
6741	91APP*-KY	52000	116000	-64000	2021-07-22
4147	中裕	9000	72000	-63000	2021-07-22
73911P	中美晶凱基09售04	0	60000	-60000	2021-07-22
6667	信紘科	34000	89000	-55000	2021-07-22
4534	慶騰	68000	122000	-54000	2021-07-22
6156	松上	23000	77000	-54000	2021-07-22
719436	佳邦麥證0B購01	89000	143000	-54000	2021-07-22
4128	中天	187000	239000	-52000	2021-07-22
5820	日盛金	4000	56000	-52000	2021-07-22
720063	中美晶麥證0B購01	0	52000	-52000	2021-07-22
3537	堡達	28000	79000	-51000	2021-07-22
3675	德微	9000	59000	-50000	2021-07-22
3232	昱捷	42000	91000	-49000	2021-07-22
8255	朋程	1043000	1089000	-46000	2021-07-22
5864	致和證	150000	194000	-44000	2021-07-22
8935	邦泰	73000	116000	-43000	2021-07-22
3680	家登	79000	121000	-42000	2021-07-22
3219	倚強科	5000	46000	-41000	2021-07-22
5403	中菲	2000	43000	-41000	2021-07-22
6270	倍微	6000	47000	-41000	2021-07-22
1784	訊聯	28000	68000	-40000	2021-07-22
6188	廣明	135000	175000	-40000	2021-07-22
8930	青鋼	94000	134000	-40000	2021-07-22
6609	瀧澤科	91000	130000	-39000	2021-07-22
3131	弘塑	38000	76000	-38000	2021-07-22
5263	智崴	7000	45000	-38000	2021-07-22
6492	生華科	356000	392000	-36000	2021-07-22
3438	類比科	743000	778000	-35000	2021-07-22
6125	廣運	120000	154000	-34000	2021-07-22
721426	合晶麥證0C購01	176000	210000	-34000	2021-07-22
8349	恒耀	15000	49000	-34000	2021-07-22
3594	磐儀	43000	76000	-33000	2021-07-22
4162	智擎	10000	42000	-32000	2021-07-22
719310	晟德麥證0A購01	0	31000	-31000	2021-07-22
5478	智冠	24000	55000	-31000	2021-07-22
1599	宏佳騰	9000	39000	-30000	2021-07-22
719943	原相元大0C購01	0	30000	-30000	2021-07-22
720236	中美晶麥證0B購02	0	30000	-30000	2021-07-22
721408	群聯麥證11購01	0	30000	-30000	2021-07-22
721724	旺矽麥證11購01	160000	190000	-30000	2021-07-22
3211	順達	92000	121000	-29000	2021-07-22
00746B	富邦A級公司債	0	28000	-28000	2021-07-22
1580	新麥	0	27000	-27000	2021-07-22
3303	岱稜	1000	28000	-27000	2021-07-22
3325	旭品	31000	58000	-27000	2021-07-22
6126	信音	22000	49000	-27000	2021-07-22
1336	台翰	7000	33000	-26000	2021-07-22
4401	東隆興	61000	87000	-26000	2021-07-22
5701	劍湖山	5000	31000	-26000	2021-07-22
722266	鈦昇麥證12購01	0	26000	-26000	2021-07-22
5287	數字	0	25000	-25000	2021-07-22
4192	杏國	1000	26000	-25000	2021-07-22
6523	達爾膚	1000	26000	-25000	2021-07-22
720210	原相元大0B購02	0	25000	-25000	2021-07-22
8446	華研	1000	25000	-24000	2021-07-22
8928	鉅明	0	24000	-24000	2021-07-22
00697B	元大美債7-10	16000	39000	-23000	2021-07-22
00795B	中信美國公債20年	0	23000	-23000	2021-07-22
2065	世豐	14000	37000	-23000	2021-07-22
6221	晉泰	4000	27000	-23000	2021-07-22
6245	立端	13000	36000	-23000	2021-07-22
8435	鉅邁	0	23000	-23000	2021-07-22
3373	熱映	23000	45000	-22000	2021-07-22
720005	大學光永豐0A購01	0	22000	-22000	2021-07-22
722296	中美晶麥證11購01	40000	62000	-22000	2021-07-22
3527	聚積	515000	536000	-21000	2021-07-22
721836	晶宏中信0C購01	0	21000	-21000	2021-07-22
8440	綠電	2000	23000	-21000	2021-07-22
1593	祺驊	5000	25000	-20000	2021-07-22
3147	大綜	53000	73000	-20000	2021-07-22
4510	高鋒	9000	29000	-20000	2021-07-22
719585	網家統一0B購03	0	20000	-20000	2021-07-22
3268	海德威	127000	146000	-19000	2021-07-22
6640	均華	87000	106000	-19000	2021-07-22
4102	永日	14000	32000	-18000	2021-07-22
6446	藥華藥	10000	28000	-18000	2021-07-22
2061	風青	8000	25000	-17000	2021-07-22
4152	台微體	2000	19000	-17000	2021-07-22
6113	亞矽	69000	86000	-17000	2021-07-22
4120	友華	1000	17000	-16000	2021-07-22
8354	冠好	0	16000	-16000	2021-07-22
2067	嘉鋼	0	15000	-15000	2021-07-22
4726	永昕	165000	180000	-15000	2021-07-22
5904	寶雅	58000	73000	-15000	2021-07-22
6470	宇智	17000	32000	-15000	2021-07-22
721387	精材元大0C購03	0	15000	-15000	2021-07-22
00696B	富邦美債20年	0	14000	-14000	2021-07-22
3306	鼎天	10000	24000	-14000	2021-07-22
4735	豪展	3000	17000	-14000	2021-07-22
5508	永信建	11000	25000	-14000	2021-07-22
6146	耕興	27000	41000	-14000	2021-07-22
5272	笙科	445000	458000	-13000	2021-07-22
8066	來思達	0	13000	-13000	2021-07-22
4174	浩鼎	39000	51000	-12000	2021-07-22
5206	坤悅	0	12000	-12000	2021-07-22
5383	金利	2000	14000	-12000	2021-07-22
5490	同亨	17000	29000	-12000	2021-07-22
6208	日揚	44000	56000	-12000	2021-07-22
8410	森田	1000	13000	-12000	2021-07-22
8432	東生華	0	12000	-12000	2021-07-22
3541	西柏	4000	15000	-11000	2021-07-22
4417	金洲	0	11000	-11000	2021-07-22
5321	友銓	40000	51000	-11000	2021-07-22
6195	詩肯	0	11000	-11000	2021-07-22
00772B	中信高評級公司債	0	10000	-10000	2021-07-22
5312	寶島科	0	10000	-10000	2021-07-22
6535	順藥	3000	13000	-10000	2021-07-22
716827	創惟元大08購01	0	10000	-10000	2021-07-22
721293	譜瑞元大0B購01	10000	20000	-10000	2021-07-22
8092	建暐	0	10000	-10000	2021-07-22
3516	亞帝歐	3000	12000	-9000	2021-07-22
3529	力旺	417000	426000	-9000	2021-07-22
5410	國眾	0	9000	-9000	2021-07-22
5516	雙喜	0	9000	-9000	2021-07-22
722532	金居麥證11購01	0	9000	-9000	2021-07-22
3071	協禧	11000	19000	-8000	2021-07-22
3390	旭軟	4000	12000	-8000	2021-07-22
4138	曜亞	0	8000	-8000	2021-07-22
4506	崇友	3000	11000	-8000	2021-07-22
6154	順發	14000	22000	-8000	2021-07-22
6220	岳豐	20000	28000	-8000	2021-07-22
8403	盛弘	10000	18000	-8000	2021-07-22
3483	力致	233000	241000	-8000	2021-07-22
1586	和勤	51000	58000	-7000	2021-07-22
1781	合世	5000	12000	-7000	2021-07-22
4716	大立	2000	9000	-7000	2021-07-22
6123	上奇	0	7000	-7000	2021-07-22
6185	幃翔	7000	14000	-7000	2021-07-22
6578	達邦蛋白	0	7000	-7000	2021-07-22
8433	弘帆	0	7000	-7000	2021-07-22
3293	鈊象	66000	73000	-7000	2021-07-22
3521	鴻翊	0	6000	-6000	2021-07-22
4502	健信	6000	12000	-6000	2021-07-22
4528	江興鍛	0	6000	-6000	2021-07-22
4711	永純	0	6000	-6000	2021-07-22
6276	安鈦克	2000	8000	-6000	2021-07-22
6469	大樹	144000	150000	-6000	2021-07-22
8409	商之器	0	6000	-6000	2021-07-22
1799	易威	0	5000	-5000	2021-07-22
3479	安勤	11000	16000	-5000	2021-07-22
4530	宏易	1000	6000	-5000	2021-07-22
4561	健椿	0	5000	-5000	2021-07-22
5465	富驊	3000	8000	-5000	2021-07-22
6171	亞銳士	1000	6000	-5000	2021-07-22
6570	維田	0	5000	-5000	2021-07-22
2743	山富	1000	5000	-4000	2021-07-22
3259	鑫創	1000	5000	-4000	2021-07-22
3631	晟楠	0	4000	-4000	2021-07-22
4127	天良	1000	5000	-4000	2021-07-22
4163	鐿鈦	4000	8000	-4000	2021-07-22
4549	桓達	0	4000	-4000	2021-07-22
5604	中連貨	4000	8000	-4000	2021-07-22
5902	德記	3000	7000	-4000	2021-07-22
6122	擎邦	0	4000	-4000	2021-07-22
6246	臺龍	3000	7000	-4000	2021-07-22
719594	元太麥證09購01	5000	9000	-4000	2021-07-22
722219	台半凱基13購01	0	4000	-4000	2021-07-22
8097	常珵	39000	43000	-4000	2021-07-22
8107	大億金茂	11000	15000	-4000	2021-07-22
1777	生泰	0	3000	-3000	2021-07-22
2726	雅茗-KY	2000	5000	-3000	2021-07-22
2734	易飛網	7000	10000	-3000	2021-07-22
3290	東浦	0	3000	-3000	2021-07-22
5016	松和	0	3000	-3000	2021-07-22
6242	立康	0	3000	-3000	2021-07-22
6727	亞泰金屬	6000	9000	-3000	2021-07-22
8147	正淩	2000	5000	-3000	2021-07-22
8234	新漢	0	3000	-3000	2021-07-22
8421	旭源	0	3000	-3000	2021-07-22
8437	大地-KY	4000	7000	-3000	2021-07-22
00694B	富邦美債1-3	0	2000	-2000	2021-07-22
1570	力肯	3000	5000	-2000	2021-07-22
1595	川寶	1000	3000	-2000	2021-07-22
2063	世鎧	0	2000	-2000	2021-07-22
4529	淳紳	0	2000	-2000	2021-07-22
4538	大詠城	0	2000	-2000	2021-07-22
4541	晟田	10000	12000	-2000	2021-07-22
4563	百德	2000	4000	-2000	2021-07-22
5220	萬達光電	3000	5000	-2000	2021-07-22
5426	振發	0	2000	-2000	2021-07-22
8059	凱碩	2000	4000	-2000	2021-07-22
8937	合騏	0	2000	-2000	2021-07-22
00723B	群益15年IG科技債	0	1000	-1000	2021-07-22
00724B	群益10年IG金融債	0	1000	-1000	2021-07-22
00741B	富邦全球高收債	0	1000	-1000	2021-07-22
00747B	FH中國政策債	0	1000	-1000	2021-07-22
00749B	凱基新興債10+	0	1000	-1000	2021-07-22
00764B	群益25年美債	1000	2000	-1000	2021-07-22
00870B	元大15年EM主權債	0	1000	-1000	2021-07-22
888	永豐台灣ESG	0	1000	-1000	2021-07-22
1240	茂生農經	0	1000	-1000	2021-07-22
1264	德麥	0	1000	-1000	2021-07-22
1788	杏昌	0	1000	-1000	2021-07-22
2729	瓦城	5000	6000	-1000	2021-07-22
3114	好德	4000	5000	-1000	2021-07-22
3118	進階	0	1000	-1000	2021-07-22
3171	新洲	3000	4000	-1000	2021-07-22
3288	點晶	3000	4000	-1000	2021-07-22
3466	致振	0	1000	-1000	2021-07-22
4109	加捷生醫	4000	5000	-1000	2021-07-22
4580	捷流閥業	0	1000	-1000	2021-07-22
4729	熒茂	7000	8000	-1000	2021-07-22
4767	誠泰科技	0	1000	-1000	2021-07-22
4905	台聯電	0	1000	-1000	2021-07-22
5276	達輝-KY	0	1000	-1000	2021-07-22
5324	士開	0	1000	-1000	2021-07-22
5460	同協	0	1000	-1000	2021-07-22
5468	凱鈺	0	1000	-1000	2021-07-22
5481	新華	0	1000	-1000	2021-07-22
5511	德昌	0	1000	-1000	2021-07-22
5523	豐謙	12000	13000	-1000	2021-07-22
6101	寬魚國際	0	1000	-1000	2021-07-22
6124	業強	0	1000	-1000	2021-07-22
6292	迅德	1000	2000	-1000	2021-07-22
6465	威潤	9000	10000	-1000	2021-07-22
6499	益安	1000	2000	-1000	2021-07-22
6577	勁豐	0	1000	-1000	2021-07-22
6751	智聯服務	0	1000	-1000	2021-07-22
720560	榮剛統一0B購01	0	1000	-1000	2021-07-22
722297	穩懋麥證11購01	0	1000	-1000	2021-07-22
8047	星雲	0	1000	-1000	2021-07-22
8083	瑞穎	0	1000	-1000	2021-07-22
8279	生展	0	1000	-1000	2021-07-22
8416	實威	0	1000	-1000	2021-07-22
8418	捷必勝-KY	0	1000	-1000	2021-07-22
8424	惠普	0	1000	-1000	2021-07-22
8444	綠河-KY	1000	2000	-1000	2021-07-22
8358	金居	6983000	2631000	4352000	2021-07-22
6173	信昌電	5648000	2365000	3283000	2021-07-22
3227	原相	3513000	535000	2977000	2021-07-22
