Date	Ticker	Open	High	Low	Close	Volume	Adj Close
2021-09-22	4420	29.5	29.5	29.2	29.25	37000	29.25
2021-09-22	4429	35.9	36.0	33.65	35.85	68000	35.85
2021-09-22	4430	23.3	23.65	23.3	23.65	8000	23.65
2021-09-22	4432	15.8	16.9	15.8	16.6	143000	16.6
2021-09-22	4433	32.0	32.8	32.0	32.75	35000	32.75
2021-09-22	4502	38.5	39.0	38.3	39.0	10000	39.0
2021-09-22	4503	23.7	25.55	22.5	22.5	5518000	22.5
2021-09-22	4506	66.3	66.9	65.6	66.6	158000	66.6
2021-09-22	4510	11.0	11.05	10.45	10.9	67000	10.9
2021-09-22	4513	9.53	10.45	9.52	10.45	1394000	10.45
2021-09-22	4523	27.3	27.3	27.3	27.3	1000	27.3
2021-09-22	4527	27.6	27.65	27.5	27.5	60000	27.5
2021-09-22	4528	40.1	40.5	39.9	40.2	34000	40.2
2021-09-22	4529	9.81	9.95	9.8	9.81	109000	9.81
2021-09-22	4530	7.9	7.9	7.85	7.86	27000	7.86
2021-09-22	4533	11.6	11.6	11.4	11.45	116000	11.45
2021-09-22	4534	12.7	12.75	12.35	12.45	192000	12.45
2021-09-22	4535	34.25	34.25	33.6	34.1	5000	34.1
2021-09-22	4538	19.4	19.4	18.9	19.15	11000	19.15
2021-09-22	4541	21.8	22.0	21.6	22.0	103000	22.0
2021-09-22	4542	26.2	26.2	26.1	26.1	5000	26.1
2021-09-22	4543	18.95	19.8	18.3	18.6	928000	18.6
2021-09-22	4549	87.7	87.7	86.2	86.8	39000	86.8
2021-09-22	4550	23.05	23.05	22.8	22.85	6000	22.85
2021-09-22	4554	30.7	32.5	30.6	31.25	247000	31.25
2021-09-22	4556	30.65	31.65	30.6	31.65	3000	31.65
2021-09-22	4561	28.0	28.0	27.65	28.0	28000	28.0
2021-09-22	4563	29.0	29.5	29.0	29.0	9000	29.0
2021-09-22	4568	65.0	65.0	63.0	64.1	10000	64.1
2021-09-22	4580	85.4	86.4	85.4	86.2	28000	86.2
2021-09-22	4609	7.19	7.5	7.02	7.5	12000	7.5
2021-09-22	4702	14.3	15.45	14.3	14.7	6178000	14.7
2021-09-22	4706	18.75	18.8	18.6	18.75	23000	18.75
2021-09-22	4707	13.5	13.5	13.3	13.3	799000	13.3
2021-09-22	4711	20.8	22.95	20.6	22.0	13316000	22.0
2021-09-22	4714	13.7	14.45	13.65	14.1	3071000	14.1
2021-09-22	4716	14.0	14.3	13.9	14.0	244000	14.0
2021-09-22	4721	113.5	115.0	112.0	114.0	5736000	114.0
2021-09-22	4726	39.5	39.5	38.6	39.05	698000	39.05
2021-09-22	4728	82.9	82.9	81.3	82.6	39000	82.6
2021-09-22	4729	11.9	11.9	11.55	11.8	43000	11.8
2021-09-22	4735	69.5	69.9	68.5	69.9	390000	69.9
2021-09-22	4736	189.5	190.5	186.0	190.0	751000	190.0
2021-09-22	4741	23.7	24.2	23.7	24.2	3000	24.2
2021-09-22	4743	184.0	191.0	182.5	184.5	2796000	184.5
2021-09-22	4744	25.55	26.8	25.55	26.8	37000	26.8
2021-09-22	4745	23.95	24.0	23.55	23.55	60000	23.55
2021-09-22	4747	35.5	35.8	35.5	35.8	2000	35.8
2021-09-22	4754	36.15	36.15	35.35	35.7	23000	35.7
2021-09-22	4760	103.5	106.5	103.0	106.5	127000	106.5
2021-09-22	4767	29.3	29.85	27.95	28.6	139000	28.6
2021-09-22	4803	12.1	12.1	11.9	11.9	67000	11.9
2021-09-22	4804	8.4	8.53	8.35	8.42	64000	8.42
2021-09-22	4806	10.2	10.7	10.2	10.7	5000	10.7
2021-09-22	4903	9.0	9.66	8.87	9.5	709000	9.5
2021-09-22	4905	51.3	51.3	51.3	51.3	3000	51.3
2021-09-22	4907	24.95	25.3	24.9	25.3	48000	25.3
2021-09-22	4908	27.2	27.6	26.95	27.3	115000	27.3
2021-09-22	4909	20.55	21.3	20.55	21.3	126000	21.3
2021-09-22	4911	24.65	24.65	24.65	24.65	1000	24.65
2021-09-22	4924	13.85	13.85	13.85	13.85	5000	13.85
2021-09-22	4931	19.6	19.6	19.2	19.5	117000	19.5
2021-09-22	4933	31.55	31.55	30.0	30.7	260000	30.7
2021-09-22	4939	20.3	20.3	20.05	20.1	218000	20.1
2021-09-22	4944	24.7	26.3	24.7	25.45	29000	25.45
2021-09-22	4945	60.6	60.7	59.1	59.8	101000	59.8
2021-09-22	4946	27.7	29.1	27.7	28.65	23000	28.65
2021-09-22	4950	20.3	20.3	19.0	19.0	882000	19.0
2021-09-22	4953	84.6	85.7	84.5	85.6	65000	85.6
2021-09-22	4966	1775.0	1810.0	1770.0	1800.0	424000	1800.0
2021-09-22	4971	57.0	58.5	56.8	58.3	54000	58.3
2021-09-22	4972	30.1	30.5	30.05	30.15	37000	30.15
2021-09-22	4973	22.95	23.35	22.8	23.15	203000	23.15
2021-09-22	4974	56.1	56.5	55.8	56.2	268000	56.2
2021-09-22	4979	16.9	17.1	16.8	16.9	152000	16.9
2021-09-22	4987	51.5	51.5	49.65	50.3	106000	50.3
2021-09-22	4991	48.0	50.6	48.0	49.05	151000	49.05
2021-09-22	4995	33.85	33.85	33.75	33.85	3000	33.85
2021-09-22	5009	24.25	25.45	24.2	24.95	5764000	24.95
2021-09-22	5011	27.25	28.55	26.6	28.05	630000	28.05
2021-09-22	5013	40.4	41.4	40.3	40.8	241000	40.8
2021-09-22	5014	24.05	24.65	23.7	23.8	5655000	23.8
2021-09-22	5015	34.4	34.4	33.55	33.8	80000	33.8
2021-09-22	5016	37.2	37.2	36.6	36.7	76000	36.7
2021-09-22	5102	19.8	19.95	19.6	19.75	51000	19.75
2021-09-22	5201	26.95	26.95	26.5	26.5	12000	26.5
2021-09-22	5202	21.7	23.0	21.25	22.05	190000	22.05
2021-09-22	5205	----	----	----	----	0	----
2021-09-22	5206	16.35	16.5	16.35	16.35	82000	16.35
2021-09-22	5209	66.0	67.4	65.7	67.4	23000	67.4
2021-09-22	5210	20.0	22.25	19.85	22.2	4037000	22.2
2021-09-22	5211	21.55	22.05	20.6	20.7	1823000	20.7
2021-09-22	5212	48.05	52.0	48.05	50.3	55000	50.3
2021-09-22	5213	20.95	21.0	20.5	21.0	383000	21.0
2021-09-22	5220	37.65	38.3	37.65	38.2	40000	38.2
2021-09-22	5223	50.2	50.4	49.15	49.5	89000	49.5
2021-09-22	5227	28.35	30.15	28.3	29.0	1165000	29.0
2021-09-22	5230	31.0	32.0	30.8	31.2	91000	31.2
2021-09-22	5236	142.5	145.5	139.5	141.5	191000	141.5
2021-09-22	5245	47.15	53.0	45.25	52.1	1447000	52.1
2021-09-22	5251	13.2	13.4	13.2	13.4	5000	13.4
2021-09-22	5263	106.0	111.0	106.0	110.5	93000	110.5
2021-09-22	5272	39.0	40.4	38.7	40.0	3764000	40.0
2021-09-22	5274	2190.0	2310.0	2190.0	2265.0	172000	2265.0
2021-09-22	5276	15.75	15.75	15.75	15.75	1000	15.75
2021-09-22	5278	173.0	177.0	171.0	176.5	20000	176.5
2021-09-22	5281	20.95	20.95	20.85	20.9	8000	20.9
2021-09-22	5287	247.0	247.0	243.5	244.5	60000	244.5
2021-09-22	5289	193.0	195.5	190.0	190.5	244000	190.5
2021-09-22	5291	34.8	34.8	34.1	34.2	189000	34.2
2021-09-22	5299	176.0	179.5	175.0	178.0	520000	178.0
2021-09-22	5301	9.26	9.26	8.9	8.99	117000	8.99
2021-09-22	5302	13.3	13.5	13.0	13.35	193000	13.35
2021-09-22	5306	215.0	215.0	209.0	210.0	478000	210.0
2021-09-22	5309	30.05	30.55	29.9	30.1	892000	30.1
2021-09-22	5310	12.5	12.5	12.3	12.35	18000	12.35
2021-09-22	5312	58.7	58.7	58.6	58.6	10000	58.6
2021-09-22	5314	4.92	5.4	4.92	5.18	33000	5.18
2021-09-22	5315	15.25	15.25	14.8	15.25	348000	15.25
2021-09-22	5321	77.9	84.9	77.6	84.9	5722000	84.9
2021-09-22	5324	9.6	9.66	9.56	9.6	39000	9.6
2021-09-22	5328	16.7	16.9	16.35	16.35	2371000	16.35
2021-09-22	5340	41.3	45.9	41.25	44.5	1918000	44.5
2021-09-22	5344	15.6	16.0	15.45	15.6	73000	15.6
2021-09-22	5345	5.9	5.9	5.9	5.9	2000	5.9
2021-09-22	5347	155.0	157.0	152.0	154.0	14843000	154.0
2021-09-22	5348	7.68	7.99	7.68	7.97	23000	7.97
2021-09-22	5351	43.2	45.9	42.6	45.0	25505000	45.0
2021-09-22	5353	16.3	16.3	16.2	16.2	7000	16.2
2021-09-22	5355	6.66	6.7	6.46	6.62	185000	6.62
2021-09-22	5356	25.9	26.15	25.9	26.0	89000	26.0
2021-09-22	5364	----	----	----	----	0	----
2021-09-22	5371	53.7	54.2	53.3	53.9	427000	53.9
2021-09-22	5381	6.05	6.41	6.05	6.41	73000	6.41
2021-09-22	5383	26.55	27.0	26.4	27.0	98000	27.0
2021-09-22	5386	40.5	40.5	39.1	40.1	73000	40.1
2021-09-22	5392	23.35	24.15	23.3	24.0	490000	24.0
2021-09-22	5398	20.0	20.2	20.0	20.2	2000	20.2
2021-09-22	5403	63.0	63.5	62.7	63.2	66000	63.2
2021-09-22	5410	22.2	22.2	22.05	22.15	123000	22.15
2021-09-22	5425	63.2	64.2	62.8	63.2	4594000	63.2
2021-09-22	5426	10.15	10.2	10.1	10.15	42000	10.15
2021-09-22	5432	28.8	29.2	28.8	28.8	7000	28.8
2021-09-22	5438	24.1	24.1	22.1	23.85	463000	23.85
2021-09-22	5439	61.8	63.0	61.5	62.2	635000	62.2
2021-09-22	5443	32.1	32.65	32.05	32.4	461000	32.4
2021-09-22	5450	17.2	17.2	17.05	17.1	20000	17.1
2021-09-22	5452	21.65	21.65	21.0	21.15	315000	21.15
2021-09-22	5455	25.0	25.0	25.0	25.0	14000	25.0
2021-09-22	5457	83.7	85.0	81.8	84.3	1454000	84.3
2021-09-22	5460	12.0	12.1	11.9	12.1	19000	12.1
2021-09-22	5464	23.7	24.2	23.65	23.95	148000	23.95
2021-09-22	5465	14.25	14.25	14.15	14.15	3000	14.15
2021-09-22	5468	16.5	16.6	15.85	16.0	46000	16.0
2021-09-22	5474	109.5	113.0	109.0	112.5	92000	112.5
2021-09-22	5475	28.7	30.15	28.7	29.85	2294000	29.85
