Ticker	Name	Buy	Sell	OverBS	Date
5347	世界	1429000	2678000	-1249000	2013-08-08
8069	元太	0	459000	-459000	2013-08-08
8299	群聯	208000	489000	-281000	2013-08-08
8044	網家	179000	409000	-230000	2013-08-08
6244	茂迪	26000	247000	-221000	2013-08-08
6121	新普	36000	256000	-220000	2013-08-08
5530	龍巖	19000	202000	-183000	2013-08-08
4927	F-泰鼎	6000	145000	-139000	2013-08-08
3264	欣銓	0	125000	-125000	2013-08-08
4121	優盛	0	122000	-122000	2013-08-08
5820	日盛金	115000	232000	-117000	2013-08-08
5274	信驊	80000	194000	-114000	2013-08-08
70766P	元富T3	0	99000	-99000	2013-08-08
1580	新麥	1000	95000	-94000	2013-08-08
3555	擎泰	0	92000	-92000	2013-08-08
3687	歐買尬	10000	99000	-89000	2013-08-08
6290	良維	0	86000	-86000	2013-08-08
3527	聚積	2000	70000	-68000	2013-08-08
6146	耕興	13000	74000	-61000	2013-08-08
3624	光頡	5000	63000	-58000	2013-08-08
5483	中美晶	35000	91000	-56000	2013-08-08
3529	力旺	9000	56000	-47000	2013-08-08
3317	尼克森	0	43000	-43000	2013-08-08
4111	濟生	3000	44000	-41000	2013-08-08
3628	盈正	0	40000	-40000	2013-08-08
3293	鈊象	3000	36000	-33000	2013-08-08
8354	冠郝	0	31000	-31000	2013-08-08
5460	同協	0	27000	-27000	2013-08-08
4973	廣穎	5000	30000	-25000	2013-08-08
4736	泰博	4000	28000	-24000	2013-08-08
4971	F-IET	6000	30000	-24000	2013-08-08
4908	前鼎	0	22000	-22000	2013-08-08
3582	凌耀	4000	25000	-21000	2013-08-08
6161	捷波	1000	21000	-20000	2013-08-08
708875	永豐SB	0	20000	-20000	2013-08-08
5263	智崴	0	19000	-19000	2013-08-08
8930	青鋼	0	19000	-19000	2013-08-08
2724	F-富驛	0	18000	-18000	2013-08-08
5392	應華	0	18000	-18000	2013-08-08
5511	德昌	0	18000	-18000	2013-08-08
5371	中光電	133000	150000	-17000	2013-08-08
6151	晉倫	5000	22000	-17000	2013-08-08
3491	昇達科	0	16000	-16000	2013-08-08
3551	世禾	3000	17000	-14000	2013-08-08
