Adj Close	Close	Date	High	Low	Open	Ticker	Volume
65.0	65.0	2020-11-11	65.5	64.3	64.3	2726	8037000
242.5	242.5	2020-11-11	247.5	238.5	247.5	2729	57064500
118.5	118.5	2020-11-11	127.5	118.0	127.5	2732	103238000
12.8	12.8	2020-11-11	12.8	12.5	12.8	2734	6741200
13.65	13.65	2020-11-11	14.1	13.6	14.1	2736	2854000
22.0	22.0	2020-11-11	22.3	20.0	22.3	2740	1343000
15.35	15.35	2020-11-11	16.0	14.9	15.5	2743	6393150
17.9	17.9	2020-11-11	18.2	17.2	17.5	2745	9561250
168.5	168.5	2020-11-11	169.0	167.5	168.0	2752	7244000
77.5	77.5	2020-11-11	79.1	77.2	78.1	2754	24164900
16.1	16.1	2020-11-11	16.1	16.0	16.0	2916	353900
22.5	22.5	2020-11-11	22.5	22.45	22.45	2924	67450
77.9	77.9	2020-11-11	78.0	77.6	78.0	2926	1244200
29.35	29.35	2020-11-11	30.7	28.4	30.7	2928	3585750
32.35	32.35	2020-11-11	32.4	31.8	32.3	2937	387450
37.3	37.3	2020-11-11	37.3	37.3	37.3	3064	37300
7.2	7.2	2020-11-11	7.2	7.2	7.2	3066	14400
32.4	32.4	2020-11-11	32.6	28.85	28.85	3067	2171050
22.2	22.2	2020-11-11	22.8	22.2	22.7	3071	93072350
42.3	42.3	2020-11-11	42.3	41.15	41.25	3078	166368300
270.0	270.0	2020-11-11	274.0	268.0	273.0	3081	121877500
49.5	49.5	2020-11-11	49.5	48.3	48.6	3083	25625250
7.8	7.8	2020-11-11	7.81	7.8	7.8	3085	639800
21.5	21.5	2020-11-11	21.5	20.65	20.65	3086	85050
50.7	50.7	2020-11-11	50.9	50.4	50.6	3088	3340000
19.95	19.95	2020-11-11	20.1	19.8	19.8	3089	1378000
53.0	53.0	2020-11-11	53.7	50.7	51.4	3092	1136825100
36.0	36.0	2020-11-11	36.5	35.9	36.5	3093	1700300
2.9	2.9	2020-11-11	2.99	2.9	2.96	3095	91310
318.5	318.5	2020-11-11	321.0	315.0	318.5	3105	1366783500
19.0	19.0	2020-11-11	19.25	18.8	18.85	3114	4780800
13.85	13.85	2020-11-11	13.9	13.85	13.9	3115	263950
29.2	29.2	2020-11-11	29.4	28.6	28.95	3118	1624900
12.85	12.85	2020-11-11	13.3	12.8	13.1	3122	2117950
13.0	13.0	2020-11-11	13.1	12.9	12.9	3128	752900
362.5	362.5	2020-11-11	370.5	361.0	367.5	3131	174373500
33.9	33.9	2020-11-11	34.7	32.65	32.65	3141	105803300
30.65	30.65	2020-11-11	30.85	29.1	29.1	3144	88683650
29.85	29.85	2020-11-11	30.0	29.1	29.2	3147	1972900
394.0	394.0	2020-11-11	401.0	393.0	398.0	3152	166232000
18.95	18.95	2020-11-11	19.0	18.6	18.65	3162	412750
57.6	57.6	2020-11-11	58.3	56.9	56.9	3163	72178000
38.35	38.35	2020-11-11	38.7	38.0	38.4	3169	6513250
21.9	21.9	2020-11-11	22.15	21.9	22.15	3171	3734350
57.6	57.6	2020-11-11	59.3	57.4	58.3	3176	40211400
49.15	49.15	2020-11-11	49.2	48.65	49.05	3178	5579850
13.9	13.9	2020-11-11	13.95	13.8	13.95	3188	97050
11.4	11.4	2020-11-11	11.4	11.4	11.4	3191	6087600
22.45	22.45	2020-11-11	22.7	22.2	22.5	3202	23572300
33.55	33.55	2020-11-11	33.8	33.2	33.25	3205	1138200
31.4	31.4	2020-11-11	32.3	31.35	31.85	3206	23624700
9.6	9.6	2020-11-11	10.1	9.6	10.1	3207	179950
80.0	80.0	2020-11-11	80.1	79.6	79.9	3211	32043300
46.55	46.55	2020-11-11	46.55	46.45	46.45	3213	2557600
106.0	106.0	2020-11-11	107.0	105.0	107.0	3217	31712500
275.5	275.5	2020-11-11	275.5	267.5	270.0	3218	287250500
39.6	39.6	2020-11-11	39.6	39.6	39.6	3219	514800
22.2	22.2	2020-11-11	22.2	21.9	21.95	3221	7484500
49.1	49.1	2020-11-11	49.7	49.1	49.5	3224	1926150
58.3	58.3	2020-11-11	58.4	58.0	58.2	3226	581300
199.5	199.5	2020-11-11	201.5	196.5	198.5	3227	1864355000
