Date	Ticker	Open	High	Low	Close	Volume	Adj Close
2020-07-23	00679B	50.25	50.3	50.2	50.3	717000	50.3
2020-07-23	00687B	52.5	52.5	52.4	52.4	117000	52.4
2020-07-23	00694B	39.75	39.75	39.71	39.71	345000	39.71
2020-07-23	00695B	41.64	41.72	41.64	41.68	338000	41.68
2020-07-23	00696B	52.55	52.6	52.5	52.5	442000	52.5
2020-07-23	00697B	44.27	44.33	44.27	44.32	180000	44.32
2020-07-23	00718B	19.3	19.31	19.28	19.3	474000	19.3
2020-07-23	00719B	31.78	31.78	31.75	31.78	129000	31.78
2020-07-23	00720B	48.49	48.54	48.45	48.53	326000	48.53
2020-07-23	00721B	44.47	44.47	44.23	44.33	123000	44.33
2020-07-23	00722B	52.35	52.6	52.35	52.5	107000	52.5
2020-07-23	00723B	48.9	49.1	48.9	49.1	113000	49.1
2020-07-23	00724B	46.91	46.95	46.9	46.95	128000	46.95
2020-07-23	00725B	46.25	46.42	46.25	46.41	151000	46.41
2020-07-23	00726B	44.73	44.73	44.67	44.72	236000	44.72
2020-07-23	00727B	38.73	38.75	38.73	38.75	105000	38.75
2020-07-23	00734B	21.7	21.7	21.68	21.69	1003000	21.69
2020-07-23	00740B	51.05	51.1	50.95	50.95	335000	50.95
2020-07-23	00741B	38.22	38.22	38.12	38.19	244000	38.19
2020-07-23	00744B	40.15	40.15	40.07	40.15	110000	40.15
2020-07-23	00745B	38.87	38.87	38.87	38.87	100000	38.87
2020-07-23	00746B	50.4	50.4	50.15	50.15	129000	50.15
2020-07-23	00747B	49.4	49.4	49.4	49.4	100000	49.4
2020-07-23	00748B	40.64	40.64	40.64	40.64	100000	40.64
2020-07-23	00749B	47.83	47.83	47.83	47.83	100000	47.83
2020-07-23	00750B	50.25	50.25	50.25	50.25	100000	50.25
2020-07-23	00751B	52	52.15	52	52.15	228000	52.15
2020-07-23	00754B	53	53.15	53	53.15	104000	53.15
2020-07-23	00755B	50.3	50.55	50.25	50.55	109000	50.55
2020-07-23	00756B	50.75	51.1	50.75	51.1	124000	51.1
2020-07-23	00758B	65.45	65.45	65.4	65.4	103000	65.4
2020-07-23	00759B	80.9	80.9	80.9	80.9	100000	80.9
2020-07-23	00760B	68.8	68.9	68.8	68.9	101000	68.9
2020-07-23	00761B	52.7	52.85	52.7	52.75	226000	52.75
2020-07-23	00764B	53.35	53.35	53.35	53.35	100000	53.35
2020-07-23	00765B	38.62	38.62	38.62	38.62	100000	38.62
2020-07-23	00768B	83.1	83.15	83.1	83.15	101000	83.15
2020-07-23	00772B	51.15	51.2	51.1	51.15	562000	51.15
2020-07-23	00773B	50.8	50.85	50.75	50.85	169000	50.85
2020-07-23	00777B	50.55	50.65	50.55	50.65	102000	50.65
2020-07-23	00778B	51.05	51.05	51.05	51.05	107000	51.05
2020-07-23	00779B	53.9	53.9	53.85	53.85	120000	53.85
2020-07-23	00780B	44.2	44.2	44.15	44.15	103000	44.15
2020-07-23	00781B	50.15	50.4	50.15	50.25	113000	50.25
2020-07-23	00782B	48.6	48.76	48.6	48.75	109000	48.75
2020-07-23	00784B	40.4	40.4	40.4	40.4	200000	40.4
2020-07-23	00785B	48.15	48.15	48.15	48.15	200000	48.15
2020-07-23	00786B	47.32	47.35	47.25	47.3	28000	47.3
2020-07-23	00787B	48.88	48.93	48.88	48.93	305000	48.93
2020-07-23	00788B	47.17	47.17	47.06	47.06	5000	47.06
2020-07-23	00789B	75.65	75.65	75.65	75.65	100000	75.65
2020-07-23	00790B	70.4	70.4	70.4	70.4	100000	70.4
2020-07-23	00791B	59.2	59.2	59.2	59.2	100000	59.2
2020-07-23	00792B	49.13	49.13	49.13	49.13	1000	49.13
2020-07-23	00793B	49.2	49.2	49.15	49.17	107000	49.17
2020-07-23	00794B	38.56	38.74	38.56	38.74	103000	38.74
2020-07-23	00795B	50.7	50.8	50.65	50.7	162000	50.7
