EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2014-05-05,2014-07-14,55.0,48.0,78,68,0,144,290,70,-7290,-0.1325,55.0,0.0,47.05,-0.1445
2014-09-02,2014-10-14,42.8,37.4,61,53,0,112,226,42,-5626,-0.1314,42.8,0.0,37.4,-0.1262
2014-11-28,2015-04-02,37.4,33.75,53,48,0,101,202,125,-3852,-0.103,37.4,0.0,33.5,-0.1043
2015-05-21,2015-06-10,31.2,27.1,44,39,0,81,164,20,-4264,-0.1367,31.2,0.0,27.8,-0.109
2015-07-21,2015-07-28,29.55,25.0,42,36,0,75,153,7,-4703,-0.1592,29.55,0.0,25.0,-0.154
2015-09-11,2015-09-22,25.1,29.5,36,42,0,88,166,11,4234,0.1687,28.45,0.1335,25.1,0.0
2015-10-27,2015-11-20,27.9,30.2,40,43,0,91,174,24,2126,0.0762,30.9,0.1075,27.9,0.0
2015-12-29,2016-01-06,35.05,31.6,50,45,0,95,190,8,-3640,-0.1039,35.05,0.0,31.3,-0.107
2016-02-16,2016-05-16,28.35,25.1,40,36,0,75,151,90,-3401,-0.12,28.35,0.0,24.85,-0.1235
2016-05-31,2016-06-15,27.2,29.35,39,42,0,88,169,15,1981,0.0728,30.75,0.1305,27.2,0.0
2016-07-07,2016-07-18,29.55,33.8,42,48,0,101,191,11,4059,0.1374,33.4,0.1303,29.55,0.0
2016-09-05,2016-10-07,28.65,30.5,41,43,0,92,176,32,1674,0.0584,31.6,0.103,28.65,0.0
2016-10-28,2017-01-10,30.1,26.9,43,38,0,81,162,74,-3362,-0.1117,30.1,0.0,26.95,-0.1047
2017-02-06,2017-04-12,27.5,24.75,39,35,0,74,148,65,-2898,-0.1054,27.5,0.0,24.7,-0.1018
2017-06-02,2017-08-07,22.75,25.4,32,36,0,76,144,66,2506,0.1102,25.15,0.1055,22.75,0.0
2017-09-06,2018-01-24,22.65,24.25,32,35,0,73,140,140,1460,0.0645,25.1,0.1082,22.65,0.0
2018-04-03,2018-06-29,23.8,21.25,34,30,0,64,128,87,-2678,-0.1125,23.8,0.0,21.25,-0.1071
2018-07-26,2018-10-12,20.9,15.9,30,23,0,48,101,78,-5101,-0.2441,20.9,0.0,17.35,-0.1699
2018-11-20,2018-12-14,16.5,18.3,24,26,0,55,105,24,1695,0.1027,18.2,0.103,16.5,0.0
2019-01-11,2019-05-15,17.95,16.3,26,23,0,49,98,124,-1748,-0.0974,17.95,0.0,15.85,-0.117
2019-06-05,2019-07-08,16.45,17.8,23,25,0,53,101,33,1249,0.0759,18.35,0.1155,16.45,0.0
2019-08-21,2019-10-30,17.0,18.5,24,26,0,56,106,70,1394,0.082,19.2,0.1294,17.0,0.0
2020-01-07,2020-01-31,18.85,22.75,27,32,0,68,127,24,3773,0.2002,22.25,0.1804,18.85,0.0
2020-04-13,2020-04-21,12.8,14.1,20,20,0,42,82,8,1218,0.0952,14.3,0.1172,12.8,0.0
2020-06-11,2020-06-15,20.85,19.25,30,27,0,58,115,4,-1715,-0.0823,20.85,0.0,18.25,-0.1247
2020-08-14,2020-08-21,23.45,24.35,33,35,0,73,141,7,759,0.0324,26.65,0.1365,23.05,-0.0171
2020-10-06,2020-10-08,26.0,24.8,37,35,0,74,146,2,-1346,-0.0518,26.0,0.0,23.4,-0.1
2020-11-30,2021-01-08,23.4,21.1,33,30,0,63,126,39,-2426,-0.1037,23.4,0.0,21.0,-0.1026
2021-02-23,2021-03-26,20.8,24.55,30,35,0,74,139,31,3611,0.1736,24.9,0.1971,20.8,0.0
2021-06-01,2021-06-17,21.8,19.85,31,28,0,60,119,16,-2069,-0.0949,21.8,0.0,19.55,-0.1032
2021-07-09,2021-07-14,21.5,19.15,31,27,0,57,115,5,-2465,-0.1147,21.5,0.0,19.05,-0.114
2021-08-17,2021-08-25,18.9,17.0,27,24,0,51,102,8,-2002,-0.1059,18.9,0.0,16.9,-0.1058
2021-09-16,2021-11-11,17.2,15.3,25,22,0,46,93,56,-1993,-0.1159,17.2,0.0,15.25,-0.1134
2021-12-07,2022-01-25,15.5,13.8,22,20,0,41,83,49,-1783,-0.115,15.5,0.0,13.65,-0.1194
2022-02-14,2022-02-22,15.2,17.25,22,25,0,52,99,8,1951,0.1284,17.1,0.125,15.2,0.0
2022-03-21,2022-04-06,18.7,16.7,27,24,0,50,101,16,-2101,-0.1124,18.7,0.0,16.7,-0.107
2022-04-22,2022-04-28,19.15,17.4,27,25,0,52,104,6,-1854,-0.0968,19.15,0.0,17.05,-0.1097
2022-06-01,2022-06-10,16.0,16.95,23,24,0,51,98,9,852,0.0532,17.1,0.0688,16.0,0.0
