代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1451,3270,9530,15,9,24,62.5,0.023979166666666673,99.75
1452,3498,-8048,15,13,28,53.57,-0.005200000000000001,80.85714285714286
1453,2206,3434,16,14,30,53.33,0.017143333333333337,78.13333333333334
1454,1885,8845,19,7,26,73.08,0.03013846153846154,93.5
1455,2665,-17995,17,19,36,47.22,-0.02391666666666666,54.69444444444444
1456,3992,1758,26,23,50,52.0,0.044278000000000005,29.72
1457,2600,8110,20,11,31,64.52,0.026987096774193548,77.0
1459,2401,-6361,18,16,34,52.94,-0.006311764705882352,64.82352941176471
1460,2992,-6682,18,20,38,47.37,-0.009244736842105262,51.36842105263158
1463,3265,7585,22,10,32,68.75,0.026465624999999996,68.0
1464,4655,-5555,19,18,37,51.35,3.783783783783733e-05,58.432432432432435
1465,1856,5194,10,10,20,50.0,0.023525,140.45
1466,3468,-7058,15,22,37,40.54,-0.01662432432432432,55.0
1467,3352,-2622,22,18,40,55.0,0.003622499999999995,44.275
1468,2170,14980,17,11,28,60.71,0.04904642857142857,89.10714285714286
1470,4056,-11606,17,19,36,47.22,-0.011266666666666664,65.08333333333333
1471,3030,-2650,23,28,51,45.1,0.007439215686274507,25.215686274509803
1472,6153,-13993,19,28,47,40.43,-0.007123404255319151,22.80851063829787
1473,4163,-21763,13,15,28,46.43,-0.020721428571428575,79.75
1474,2439,-2589,19,14,33,57.58,0.00017878787878787864,69.84848484848484
1475,7829,10881,23,30,53,43.4,0.013996226415094338,18.471698113207548
1476,98612,128888,27,15,42,64.29,0.018569047619047617,38.04761904761905
1477,44680,7820,22,19,41,53.66,0.004451219512195122,44.073170731707314
1503,5298,64302,12,3,15,80.0,0.07425999999999999,196.66666666666666
1504,5346,-5246,15,16,31,48.39,-0.004322580645161293,77.38709677419355
1506,3842,14898,24,14,38,63.16,0.03442894736842105,42.71052631578947
1512,2698,-5458,18,27,45,40.0,-0.00992888888888889,29.022222222222222
1513,7487,42113,21,9,30,70.0,0.03209666666666666,74.53333333333333
1514,4560,39330,28,10,38,73.68,0.047384210526315786,45.89473684210526
1515,11849,-7059,27,19,46,58.7,0.019715217391304347,28.130434782608695
1516,4911,10989,24,19,43,55.81,0.01836279069767441,38.395348837209305
1517,3632,-19132,17,20,37,45.95,-0.017721621621621622,59.054054054054056
1519,7662,79488,28,9,37,75.68,0.040416216216216216,49.86486486486486
1521,9998,-55948,11,15,26,42.31,-0.02737307692307692,96.6923076923077
1522,5512,-8262,21,17,38,55.26,-0.00697105263157895,48.94736842105263
1524,2399,9601,18,12,30,60.0,0.018980000000000004,78.26666666666667
1525,16734,-19434,20,16,36,55.56,0.004852777777777779,46.69444444444444
1526,8382,-27622,28,19,47,59.57,0.006199999999999997,28.914893617021278
1527,12830,-28630,20,20,40,50.0,-0.006285000000000001,51.025
1528,2609,4071,22,13,35,62.86,0.02168571428571429,54.94285714285714
1529,4852,4978,30,30,60,50.0,0.010366666666666665,15.916666666666666
1530,6041,11609,18,12,30,60.0,0.018903333333333334,74.03333333333333
1531,3005,-1555,15,13,28,53.57,0.0022571428571428564,79.92857142857143
1532,6118,-21868,16,17,33,48.48,-0.01455151515151515,68.6969696969697
1533,11622,23628,26,16,42,61.9,0.025478571428571434,37.404761904761905
1535,8456,-4406,16,14,30,53.33,0.006483333333333337,80.63333333333334
1536,24584,27966,22,19,41,53.66,0.00961219512195122,41.048780487804876
1537,14201,19199,12,6,18,66.67,0.01662777777777778,157.83333333333334
1538,3297,-5087,25,29,54,46.3,-0.0061888888888888905,22.962962962962962
1539,5886,38414,28,13,41,68.29,0.04169024390243902,32.65853658536585
1540,2630,18620,17,8,25,68.0,0.045564,91.8
1541,8969,22631,26,15,41,63.41,0.02379024390243902,35.02439024390244
1558,19536,-97536,9,14,23,39.13,-0.024456521739130436,122.21739130434783
1560,18784,54616,26,15,41,63.41,0.022136585365853657,44.48780487804878
1568,6699,2501,24,20,44,54.55,0.008474999999999996,29.772727272727273
1582,10217,2033,14,13,27,51.85,0.004025925925925925,94.33333333333333
1583,13651,-22801,16,19,35,45.71,-0.004414285714285712,64.62857142857143
1587,4562,3488,19,15,34,55.88,0.011152941176470591,52.588235294117645
1589,29193,-45943,27,22,49,55.1,0.0030897959183673503,31.591836734693878
1590,142629,397871,28,22,50,56.0,0.011194000000000003,22.7
1597,17363,48787,28,15,43,65.12,0.026872093023255817,29.88372093023256
1598,8126,35524,14,12,26,53.85,0.009784615384615385,41.26923076923077
1603,4523,-973,16,16,32,50.0,0.00639375,71.375
1604,2925,20035,19,7,26,73.08,0.04425769230769231,89.53846153846153
1605,5240,1530,24,19,43,55.81,0.005476744186046511,39.674418604651166
1608,3365,-15845,20,19,39,51.28,-0.004941025641025642,50.1025641025641
1609,3806,-10386,18,19,37,48.65,-0.0035243243243243253,53.054054054054056
1611,2636,8044,21,13,34,61.76,0.027361764705882353,59.1764705882353
1612,3654,16046,24,14,38,63.16,0.02576842105263158,57.6578947368421
1614,3553,18797,12,7,19,63.16,0.03126315789473685,141.47368421052633
1615,3815,16245,21,11,32,65.62,0.03729687499999999,68.9375
1616,2225,5815,25,12,37,67.57,0.02867297297297297,46.13513513513514
1617,2347,8163,19,10,29,65.52,0.025113793103448273,84.51724137931035
1618,2192,17428,23,6,29,79.31,0.06143793103448276,71.48275862068965
1626,8379,-46129,22,25,47,46.81,-0.013038297872340426,35.42553191489362
1701,2906,2644,13,10,23,56.52,0.011395652173913046,118.17391304347827
1702,9761,-37911,13,17,30,43.33,-0.015836666666666662,79.83333333333333
1707,34273,33227,19,13,32,59.38,0.013031249999999994,68.9375
1708,6471,-14171,17,16,33,51.52,-0.005933333333333336,72.06060606060606
1709,3174,16126,18,11,29,62.07,0.03570344827586207,83.20689655172414
1710,4874,-3774,20,16,36,55.56,0.0009305555555555555,56.361111111111114
1711,4170,9330,21,12,33,63.64,0.01892727272727273,63.78787878787879
1712,3358,22842,18,7,25,72.0,0.038708000000000006,94.56
1713,2367,16433,14,6,20,70.0,0.039235000000000006,138.5
1714,2724,-6234,19,21,40,47.5,-0.009632499999999997,53.625
1717,4899,9801,15,11,26,57.69,0.01683846153846154,100.38461538461539
1718,2922,-7222,20,23,43,46.51,-0.013648837209302328,46.04651162790697
1720,5792,11458,13,11,24,54.17,0.012466666666666668,105.5
1721,3383,-7643,21,20,41,51.22,0.00493170731707317,47.31707317073171
1722,7640,-6690,13,11,24,54.17,0.0026958333333333326,113.41666666666667
1723,16586,-12886,13,10,23,56.52,0.004186956521739132,115.3913043478261
1725,3226,6674,19,11,30,63.33,0.023773333333333327,69.86666666666666
1726,3996,15004,6,3,9,66.67,0.02685555555555556,364.0
1727,4026,-8976,16,14,30,53.33,0.0018933333333333395,75.83333333333333
1730,7045,48855,19,6,25,76.0,0.047760000000000004,94.04
1731,2486,6214,17,9,26,65.38,0.021438461538461538,100.15384615384616
1732,3738,14772,18,11,29,62.07,0.0321655172413793,68.79310344827586
