代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均持倉時間(日)
3013,6601,-16031,26,23,49,53.06,20.693877551020407
3014,22378,2722,36,30,66,54.55,20.757575757575758
3015,8109,12941,21,19,40,52.5,45.75
3016,18252,-40102,33,33,66,50.0,13.424242424242424
3017,13137,-30837,22,33,55,40.0,24.490909090909092
3018,6768,-8658,27,21,48,56.25,16.208333333333332
3019,31454,68646,24,25,49,48.98,16.428571428571427
3021,2859,-1949,17,16,33,51.52,32.78787878787879
3022,14032,-10082,26,24,50,52.0,36.66
3023,21061,-32461,24,27,51,47.06,58.3921568627451
3024,3116,16454,18,18,36,50.0,28.583333333333332
3025,6115,-17835,25,31,56,44.64,16.821428571428573
3026,21553,-63103,21,25,46,45.65,41.41304347826087
3027,6085,-11825,28,27,55,50.91,15.654545454545454
3028,4626,-4726,16,19,35,45.71,74.31428571428572
3029,6924,-16904,23,30,53,43.4,28.943396226415093
3030,14161,-58911,21,29,50,42.0,40.4
3031,9565,-60185,16,30,46,34.78,25.08695652173913
3032,7465,5845,26,26,52,50.0,25.673076923076923
3033,5146,-3696,18,23,41,43.9,70.7560975609756
3034,58687,-250987,23,32,55,41.82,32.14545454545455
3035,30618,-56318,31,33,64,48.44,17.421875
3036,10965,-32115,24,24,48,50.0,55.666666666666664
3037,21718,-23918,33,33,66,50.0,22.863636363636363
3038,5251,-31101,17,34,51,33.33,19.313725490196077
3040,6864,-34874,21,25,46,45.65,20.782608695652176
3041,14071,-33321,27,28,55,49.09,14.4
3042,14933,-44783,24,28,52,46.15,37.13461538461539
3043,11038,-146728,13,34,47,27.66,13.25531914893617
3044,28137,-109737,23,31,54,42.59,45.2962962962963
3045,12474,-16774,14,16,30,46.67,138.96666666666667
3046,5531,-14381,28,27,55,50.91,14.163636363636364
3047,4736,-19236,22,25,47,46.81,17.0
3048,5623,6957,21,23,44,47.73,27.136363636363637
3049,5314,-7964,24,31,55,43.64,10.763636363636364
3050,3534,5636,22,23,45,48.89,21.88888888888889
3051,8698,-63978,17,38,55,30.91,11.10909090909091
3052,3509,2491,25,23,48,52.08,24.104166666666668
3054,6084,-7784,24,20,44,54.55,12.159090909090908
3055,7700,-18350,20,29,49,40.82,23.877551020408163
3056,5185,-49105,11,27,38,28.95,33.3421052631579
3057,7893,-4343,29,25,54,53.7,14.166666666666666
3058,4558,-14578,22,25,47,46.81,32.255319148936174
3059,11727,-27227,23,25,48,47.92,22.729166666666668
3060,16975,-53925,19,22,41,46.34,20.24390243902439
3062,9873,-47573,21,22,43,48.84,23.372093023255815
3090,10897,-14247,23,23,46,50.0,39.43478260869565
3094,6357,3593,19,16,35,54.29,20.17142857142857
3130,20727,-77727,10,17,27,37.04,82.11111111111111
3138,16789,-102059,18,19,37,48.65,28.756756756756758
3149,2739,-15249,5,12,17,29.41,7.0588235294117645
3164,8338,-2838,22,13,35,62.86,24.314285714285713
3167,7210,-460,12,11,23,52.17,22.652173913043477
3189,30966,-11416,25,28,53,47.17,24.962264150943398
3209,5905,-14955,16,21,37,43.24,62.78378378378378
3229,5799,2441,24,19,43,55.81,12.069767441860465
3231,9459,-49359,15,28,43,34.88,32.883720930232556
3257,12065,-3565,14,17,31,45.16,18.29032258064516
3266,4817,6783,20,18,38,52.63,27.526315789473685
3296,6935,-29185,17,19,36,47.22,19.0
3305,12283,-96283,12,23,35,34.29,27.17142857142857
3308,2874,-2934,17,15,32,53.12,11.96875
3311,14223,-95823,16,18,34,47.06,25.735294117647058
3312,3783,-27563,15,27,42,35.71,24.69047619047619
3321,1038,4962,6,4,10,60.0,8.7
3338,5150,-13600,9,9,18,50.0,18.166666666666668
3346,1843,-15543,2,5,7,28.57,12.428571428571429
3356,23723,-199073,17,18,35,48.57,37.285714285714285
3376,25816,-103316,17,18,35,48.57,25.514285714285716
3380,7172,2428,21,23,44,47.73,32.61363636363637
3383,5279,-43439,11,13,24,45.83,12.833333333333334
3406,93441,-194591,22,34,56,39.29,8.875
3413,25637,123963,14,10,24,58.33,14.5
3416,10453,1147,14,12,26,53.85,65.38461538461539
3419,5894,-5844,19,23,42,45.24,24.142857142857142
3432,2478,4872,16,10,26,61.54,14.576923076923077
3437,3336,3064,10,8,18,55.56,15.722222222222221
3443,65626,87574,22,21,43,51.16,19.837209302325583
3450,22856,-24456,24,27,51,47.06,16.980392156862745
3454,26959,-71309,21,25,46,45.65,22.152173913043477
3481,7303,-60793,17,23,40,42.5,24.5
3494,4374,-28084,14,17,31,45.16,8.387096774193548
3501,7225,-11825,12,13,25,48.0,46.0
3504,26288,-97188,19,26,45,42.22,11.355555555555556
3515,26244,-154144,12,25,37,32.43,32.810810810810814
3518,9708,-6308,14,16,30,46.67,20.533333333333335
3528,4455,-13955,9,11,20,45.0,88.1
3530,17522,-43942,16,23,39,41.03,28.974358974358974
3532,30305,-102105,20,25,45,44.44,11.955555555555556
3533,71431,-32331,23,32,55,41.82,19.436363636363637
3535,4045,-9375,17,16,33,51.52,16.393939393939394
3536,2808,-8268,14,21,35,40.0,7.257142857142857
3543,4286,-9326,12,15,27,44.44,19.25925925925926
3545,18062,-24562,24,22,46,52.17,16.347826086956523
3550,2569,8381,15,10,25,60.0,22.68
3557,7788,-54288,20,20,40,50.0,11.475
3563,33668,-273368,11,22,33,33.33,25.272727272727273
3576,5398,-19008,15,15,30,50.0,16.9
3583,8662,-21662,8,12,20,40.0,24.15
3588,11172,-41272,16,15,31,51.61,10.67741935483871
3591,2447,2503,6,10,16,37.5,13.4375
3593,3656,-216,20,15,35,57.14,13.142857142857142
3596,14311,40639,22,14,36,61.11,25.22222222222222
3605,6394,-22994,12,17,29,41.38,29.06896551724138
3607,6174,-2074,10,12,22,45.45,24.90909090909091
3617,15116,-74016,12,16,28,42.86,33.142857142857146
3622,7282,-7782,12,10,22,54.55,18.59090909090909
3645,7853,-26653,10,16,26,38.46,19.96153846153846
3653,41721,55229,24,18,42,57.14,16.738095238095237
3661,77941,-585741,15,26,41,36.59,12.073170731707316
3665,32961,-241111,9,25,34,26.47,24.176470588235293
3669,6146,-34346,12,13,25,48.0,21.52
3673,29192,-180492,8,13,21,38.1,21.61904761904762
3679,11025,-52125,11,13,24,45.83,30.916666666666668
3682,679,3761,7,2,9,77.78,43.55555555555556
3686,2234,366,12,11,23,52.17,11.91304347826087
3694,3910,26540,20,8,28,71.43,13.5
3701,4947,-8457,19,24,43,44.19,33.093023255813954
3702,8467,-54517,14,24,38,36.84,62.86842105263158
3703,2261,-10291,11,12,23,47.83,76.6086956521739
3704,3413,-15263,10,16,26,38.46,24.923076923076923
3705,3280,-4580,6,5,11,54.55,101.9090909090909
3706,2560,-2160,6,8,14,42.86,56.57142857142857
3708,14730,-27330,10,11,21,47.62,13.047619047619047
3711,5140,-9440,5,5,10,50.0,33.6
3712,1372,-4872,4,3,7,57.14,7.285714285714286
3714,1643,7357,2,1,3,66.67,6.0
4104,13990,-7440,18,23,41,43.9,55.51219512195122
4106,8618,3482,25,18,43,58.14,25.13953488372093
4108,9238,6612,25,16,41,60.98,18.536585365853657
4119,19146,-19046,21,24,45,46.67,26.155555555555555
4133,8599,5751,13,10,23,56.52,20.391304347826086
4137,27079,-203579,5,15,20,25.0,21.95
4142,4565,22535,11,8,19,57.89,22.31578947368421
4155,5527,-54977,6,14,20,30.0,40.0
4164,4805,1645,8,9,17,47.06,29.294117647058822
4190,8180,18320,6,7,13,46.15,14.76923076923077
4306,5673,22227,27,20,47,57.45,37.06382978723404
4414,3883,11137,22,22,44,50.0,20.386363636363637
4426,13561,-50151,19,27,46,41.3,13.521739130434783
4438,6534,27966,5,3,8,62.5,58.75
4439,2720,-5220,1,2,3,33.33,24.333333333333332
4526,7677,673,20,19,39,51.28,45.61538461538461
4532,6180,9940,24,21,45,53.33,33.955555555555556
4536,10642,-30842,5,8,13,38.46,46.38461538461539
4540,4162,-6292,5,6,11,45.45,8.545454545454545
4545,1940,-9290,3,6,9,33.33,15.222222222222221
4551,17492,-6292,10,10,20,50.0,31.2
4552,750,5600,2,1,3,66.67,65.66666666666667
4555,3790,11610,6,4,10,60.0,51.2
4557,4035,-10735,4,5,9,44.44,74.44444444444444
4560,2860,-1910,5,4,9,55.56,48.333333333333336
4562,1295,2255,3,3,6,50.0,43.833333333333336
4564,1031,-981,2,2,4,50.0,32.75
4566,2440,-18640,3,5,8,37.5,16.625
4571,4101,-18601,2,4,6,33.33,32.666666666666664
4572,1929,-28829,0,3,3,0.0,12.0
4576,3983,-40883,2,4,6,33.33,8.833333333333334
4581,661,10389,3,0,3,100.0,55.0
4720,3584,6206,21,15,36,58.33,62.916666666666664
4722,6589,11751,24,22,46,52.17,44.78260869565217
4737,6051,-32451,6,9,15,40.0,52.266666666666666
4739,13669,-100019,12,21,33,36.36,20.96969696969697
4746,9909,-2009,12,12,24,50.0,24.541666666666668
4755,11343,-43593,10,16,26,38.46,30.03846153846154
4763,11614,47386,9,5,14,64.29,39.92857142857143
4764,3095,30715,6,1,7,85.71,30.428571428571427
4766,3784,31716,3,1,4,75.0,34.5
4807,1543,-7743,4,2,6,66.67,27.0
4904,10758,5992,17,17,34,50.0,129.2058823529412
4906,11317,13533,24,20,44,54.55,33.27272727272727
4912,21651,-110251,13,18,31,41.94,17.032258064516128
4915,8162,-19512,10,16,26,38.46,34.76923076923077
4916,3826,31974,13,5,18,72.22,19.27777777777778
4919,12065,19235,17,16,33,51.52,23.87878787878788
4927,10557,-3607,17,13,30,56.67,29.133333333333333
4930,3032,-15732,9,14,23,39.13,34.56521739130435
4934,3570,-11060,12,17,29,41.38,11.689655172413794
4935,9526,-75026,9,16,25,36.0,20.96
4938,9328,-38728,9,15,24,37.5,43.458333333333336
4942,5000,-1400,11,11,22,50.0,38.13636363636363
4943,23470,-68470,6,8,14,42.86,9.428571428571429
4952,7542,-22242,14,14,28,50.0,34.464285714285715
4956,2584,10416,11,8,19,57.89,15.842105263157896
4958,12046,20854,12,9,21,57.14,43.142857142857146
4960,2049,7431,12,6,18,66.67,25.666666666666668
4961,19096,-29596,19,20,39,48.72,15.692307692307692
4967,4312,19858,14,11,25,56.0,21.48
4968,35058,-188858,8,19,27,29.63,9.851851851851851
4976,7037,-28437,11,14,25,44.0,14.92
4977,11442,18158,9,10,19,47.37,21.36842105263158
4989,2303,1877,7,6,13,53.85,14.307692307692308
4994,14139,-22539,9,13,22,40.91,23.0
4999,4854,26696,10,5,15,66.67,52.4
5007,9154,-56804,15,25,40,37.5,54.375
5203,29202,-33802,23,20,43,53.49,41.627906976744185
5215,8718,-100068,8,15,23,34.78,31.608695652173914
5225,5427,-40227,8,11,19,42.11,23.789473684210527
5234,10003,-95703,7,15,22,31.82,36.59090909090909
5243,5446,-4496,8,11,19,42.11,21.63157894736842
5258,2962,-11012,8,7,15,53.33,7.666666666666667
5269,167588,-205388,15,25,40,37.5,12.875
5283,7550,-6170,8,9,17,47.06,107.41176470588235
5284,2892,-17792,4,5,9,44.44,100.44444444444444
5285,10572,24778,13,12,25,52.0,17.28
5288,14480,-12280,10,11,21,47.62,31.80952380952381
5388,14698,5302,24,28,52,46.15,39.80769230769231
5434,20228,-93528,19,26,45,42.22,38.93333333333333
5469,8381,5719,25,27,52,48.08,20.557692307692307
5471,17306,-41856,21,25,46,45.65,35.56521739130435
5484,7066,6704,24,22,46,52.17,18.456521739130434
5515,4539,4161,22,17,39,56.41,58.282051282051285
5519,8053,-52553,18,36,54,33.33,32.94444444444444
5521,4568,-15568,24,33,57,42.11,21.42105263157895
5522,15502,11748,26,25,51,50.98,36.705882352941174
5525,6920,-19270,20,27,47,42.55,53.59574468085106
5531,11708,-3508,27,23,50,54.0,19.8
5533,4889,-18289,18,25,43,41.86,59.627906976744185
5534,20957,-49707,20,34,54,37.04,31.90740740740741
5538,3357,-2507,5,9,14,35.71,78.71428571428571
5546,982,-2682,1,1,2,50.0,72.0
5607,8997,-17247,21,27,48,43.75,28.375
5608,9524,-55634,18,33,51,35.29,21.176470588235293
5706,15472,-672,22,26,48,45.83,38.0625
5871,16050,-170650,5,20,25,20.0,57.56
5876,2609,-24879,2,8,10,20.0,79.3
5880,1209,-8259,3,7,10,30.0,262.4
5906,2918,-3598,12,11,23,52.17,25.0
5907,3228,40972,14,2,16,87.5,27.9375
6005,4179,-4889,22,26,48,45.83,32.416666666666664
6024,4234,-15134,7,11,18,38.89,105.33333333333333
6108,7142,-23092,20,28,48,41.67,28.395833333333332
6112,7617,-14327,24,27,51,47.06,43.627450980392155
6115,8448,-39198,13,20,33,39.39,72.87878787878788
6116,3625,-28475,19,31,50,38.0,17.4
6117,5827,-10677,18,25,43,41.86,33.74418604651163
6120,8397,-18647,25,28,53,47.17,17.566037735849058
6128,6797,-52397,12,25,37,32.43,36.7027027027027
6133,4126,-14086,19,22,41,46.34,34.24390243902439
6136,4842,8358,16,12,28,57.14,104.17857142857143
6139,9867,-15917,18,18,36,50.0,37.02777777777778
6141,8030,25410,27,24,51,52.94,24.823529411764707
6142,4784,-1044,20,19,39,51.28,28.71794871794872
6152,7136,-31216,20,25,45,44.44,21.022222222222222
6153,12432,20768,29,25,54,53.7,21.35185185185185
6155,8744,21856,29,17,46,63.04,31.652173913043477
6164,5842,-12472,24,28,52,46.15,20.173076923076923
6165,9176,-59146,33,36,69,47.83,16.91304347826087
6166,14359,-19909,23,25,48,47.92,36.4375
6168,9652,-10402,24,31,55,43.64,19.545454545454547
6172,6046,-14246,32,32,64,50.0,14.28125
6176,28930,34570,25,32,57,43.86,34.40350877192982
6177,8296,6954,30,25,55,54.55,32.945454545454545
6183,5210,-28760,14,22,36,38.89,70.91666666666667
6184,7952,-71802,7,24,31,22.58,113.61290322580645
6189,8104,19596,21,19,40,52.5,84.475
6191,8577,-17877,24,23,47,51.06,25.23404255319149
6192,13895,-73595,15,24,39,38.46,53.43589743589744
6196,15928,-48238,25,26,51,49.02,21.50980392156863
6197,20861,-3311,26,28,54,48.15,18.27777777777778
6201,6525,-22375,14,17,31,45.16,91.70967741935483
6202,19152,8548,27,28,55,49.09,34.67272727272727
6205,12513,-20163,25,27,52,48.08,21.076923076923077
6206,23034,-6234,22,24,46,47.83,38.17391304347826
6209,13216,61234,23,21,44,52.27,12.613636363636363
6213,16603,-2553,28,29,57,49.12,29.56140350877193
6214,11288,-1988,18,19,37,48.65,58.4054054054054
6215,9006,-31206,29,24,53,54.72,18.41509433962264
6216,10457,-50157,19,20,39,48.72,53.38461538461539
6224,18413,-54313,21,28,49,42.86,32.816326530612244
6225,5316,-15596,28,29,57,49.12,9.263157894736842
6226,3640,-7960,20,24,44,45.45,17.34090909090909
6230,34974,-114724,25,40,65,38.46,15.830769230769231
6235,7013,12457,23,22,45,51.11,16.133333333333333
6239,23137,-94237,17,28,45,37.78,43.24444444444445
6243,18266,44584,33,30,63,52.38,10.746031746031745
6251,2824,17176,16,10,26,61.54,20.576923076923077
6257,7935,-22085,18,26,44,40.91,54.18181818181818
6269,22881,-24131,26,28,54,48.15,19.5
6271,31492,-23492,17,24,41,41.46,20.975609756097562
6277,17169,-39269,16,19,35,45.71,68.74285714285715
6278,22906,55344,26,30,56,46.43,24.196428571428573
6281,6578,-42678,6,14,20,30.0,186.65
6282,6122,4278,21,20,41,51.22,42.97560975609756
6283,9173,4247,26,26,52,50.0,15.211538461538462
6285,19994,1556,23,21,44,52.27,32.38636363636363
6288,3431,-17821,14,18,32,43.75,16.09375
6289,4985,-13555,23,21,44,52.27,9.727272727272727
6405,2325,-1025,7,8,15,46.67,15.266666666666667
6409,120468,74532,15,14,29,51.72,32.37931034482759
6412,7667,18733,12,10,22,54.55,35.04545454545455
6414,37457,52043,10,8,18,55.56,37.27777777777778
6415,352955,1577045,19,20,39,48.72,20.384615384615383
6416,20422,77308,18,12,30,60.0,16.633333333333333
6431,1710,-4810,7,6,13,53.85,22.23076923076923
6438,6635,45765,9,4,13,69.23,36.53846153846154
6442,2733,8367,6,4,10,60.0,20.7
6443,2869,501,10,9,19,52.63,11.052631578947368
6449,5803,-5053,10,10,20,50.0,26.85
6451,12314,-20814,7,8,15,46.67,11.866666666666667
6456,19145,-63545,10,9,19,52.63,17.894736842105264
6464,3550,32450,4,1,5,80.0,171.0
6477,5573,6477,13,11,24,54.17,12.333333333333334
6491,27246,-244566,6,11,17,35.29,18.235294117647058
6504,17086,-65086,7,8,15,46.67,43.46666666666667
6505,16862,26538,17,14,31,54.84,72.83870967741936
6515,11278,-2278,2,3,5,40.0,12.2
6525,7066,28334,9,5,14,64.29,15.214285714285714
6531,48888,-93388,10,18,28,35.71,9.535714285714286
6533,24354,-113354,6,9,15,40.0,13.733333333333333
6541,4084,-55884,3,7,10,30.0,12.4
6552,8141,-30191,8,12,20,40.0,8.05
6558,3689,-9789,6,8,14,42.86,8.785714285714286
6573,1022,-4672,4,3,7,57.14,9.285714285714286
6579,4387,34303,7,2,9,77.78,43.333333333333336
6581,4590,-26650,3,5,8,37.5,43.25
6582,14537,-81157,3,13,16,18.75,26.5
6591,3505,14195,7,3,10,70.0,18.8
6592,2876,-34676,1,4,5,20.0,73.4
6598,915,15435,3,0,3,100.0,3.3333333333333335
6605,17612,-83912,12,20,32,37.5,41.125
6625,195,2805,1,0,1,100.0,10.0
6641,1554,-4954,1,3,4,25.0,54.5
6655,4729,-54679,2,9,11,18.18,26.90909090909091
6666,1254,21246,1,0,1,100.0,3.0
6668,3788,-9388,4,4,8,50.0,17.0
6669,49567,-30567,4,7,11,36.36,29.272727272727273
6670,9513,-29513,3,5,8,37.5,31.0
6671,1268,-6018,2,3,5,40.0,98.8
6672,4905,-50605,2,5,7,28.57,17.571428571428573
6674,846,1704,2,2,4,50.0,10.0
6698,1254,15296,4,0,4,100.0,9.5
6706,6728,-33228,2,4,6,33.33,21.166666666666668
6715,4828,-2328,3,3,6,50.0,16.5
6743,0,0,0,0,0,0.0,
6754,535,-4585,0,2,2,0.0,71.0
6756,10911,-144911,0,4,4,0.0,4.25
8011,6368,-1068,18,16,34,52.94,19.08823529411765
8016,34826,-131676,23,27,50,46.0,26.38
8021,9876,-57876,20,28,48,41.67,25.625
8028,7130,-29510,13,20,33,39.39,14.303030303030303
8033,4508,-268,22,17,39,56.41,16.102564102564102
8039,14872,63978,31,20,51,60.78,21.823529411764707
8046,38589,-66289,20,25,45,44.44,20.533333333333335
8070,33511,-130161,22,26,48,45.83,26.854166666666668
8072,20614,24936,21,12,33,63.64,44.06060606060606
8081,46045,-60245,27,27,54,50.0,25.925925925925927
8101,5206,-12076,24,22,46,52.17,13.695652173913043
8103,11871,27579,28,20,48,58.33,32.645833333333336
8104,4895,91345,7,6,13,53.85,58.07692307692308
8105,5451,-16291,21,24,45,46.67,15.822222222222223
8110,2828,-6448,15,19,34,44.12,24.41176470588235
8112,6609,-36179,18,29,47,38.3,31.148936170212767
8114,20966,-72366,13,20,33,39.39,45.42424242424242
8131,6781,-8731,15,18,33,45.45,44.27272727272727
8150,4400,6500,10,9,19,52.63,29.0
8163,8955,16595,22,17,39,56.41,27.23076923076923
8201,4093,6927,14,17,31,45.16,13.32258064516129
8210,12752,-63252,18,31,49,36.73,29.612244897959183
8213,5342,-7142,12,10,22,54.55,54.77272727272727
8215,4362,-17512,11,18,29,37.93,15.10344827586207
8222,1960,3190,7,7,14,50.0,15.714285714285714
8249,6468,5032,19,19,38,50.0,40.73684210526316
8261,15695,-70745,24,39,63,38.1,13.587301587301587
8271,5830,25320,18,11,29,62.07,38.3448275862069
8341,17867,-62867,7,9,16,43.75,38.5
8367,3413,-17813,5,8,13,38.46,19.153846153846153
8374,8907,18643,23,20,43,53.49,20.3953488372093
8404,6766,-32416,13,18,31,41.94,21.419354838709676
8411,4072,-14322,6,12,18,33.33,37.388888888888886
8422,17494,34506,8,7,15,53.33,98.2
8429,4000,-7550,6,8,14,42.86,15.714285714285714
8442,3309,-11509,5,5,10,50.0,35.6
8443,398,1652,3,2,5,60.0,27.2
8454,105766,-48266,8,18,26,30.77,28.46153846153846
8462,16295,-160795,6,11,17,35.29,20.11764705882353
8463,2450,4400,8,5,13,61.54,12.23076923076923
8464,28862,-154862,5,9,14,35.71,33.57142857142857
8466,2411,14789,3,2,5,60.0,51.8
8467,3875,23675,8,5,13,61.54,11.23076923076923
8473,2005,-7105,3,3,6,50.0,35.5
8478,12208,-60058,6,12,18,33.33,6.944444444444445
8480,4065,14435,3,2,5,60.0,67.6
8481,2625,-22375,3,5,8,37.5,85.0
8482,3475,27725,4,1,5,80.0,96.6
8488,756,294,4,3,7,57.14,11.857142857142858
8499,6816,-13516,4,5,9,44.44,22.22222222222222
8926,5294,-17444,17,25,42,40.48,83.88095238095238
8940,5549,20151,25,15,40,62.5,28.4
8996,14242,-10692,22,25,47,46.81,22.93617021276596
9802,17725,-98225,13,23,36,36.11,32.333333333333336
9902,3276,-16546,18,26,44,40.91,18.431818181818183
9904,7706,-6506,18,21,39,46.15,60.794871794871796
9905,5556,8144,20,19,39,51.28,66.2051282051282
9906,10318,-64998,34,36,70,48.57,10.371428571428572
9907,5353,-4533,24,31,55,43.64,27.854545454545455
9908,3085,-20285,9,18,27,33.33,150.55555555555554
9910,28381,1119,24,24,48,50.0,46.020833333333336
9911,7865,-12405,25,30,55,45.45,29.854545454545455
9912,4068,-15108,24,27,51,47.06,15.450980392156863
9914,38888,-63738,22,37,59,37.29,29.135593220338983
9917,11268,-38068,13,17,30,43.33,150.8
9918,5155,-18355,11,20,31,35.48,136.38709677419354
9919,5466,12884,27,18,45,60.0,29.755555555555556
9921,38101,-294551,18,29,47,38.3,36.95744680851064
9924,6826,-17426,18,19,37,48.65,60.810810810810814
9925,4032,-16132,9,17,26,34.62,185.8846153846154
9926,5417,-11267,10,22,32,31.25,128.1875
9927,9672,-44672,16,28,44,36.36,48.72727272727273
9928,3652,-4652,22,17,39,56.41,21.564102564102566
9929,2754,-6344,19,24,43,44.19,23.906976744186046
9930,6723,-71523,7,23,30,23.33,129.26666666666668
