代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均持倉時間(日)
1503,6460,-25610,14,17,31,45.16,114.45161290322581
1504,5864,-9784,18,27,45,40.0,53.75555555555555
1506,4442,-15642,20,24,44,45.45,28.113636363636363
1512,2712,-5902,19,21,40,47.5,20.325
1513,6537,-29387,21,24,45,46.67,58.75555555555555
1514,4394,-5314,26,27,53,49.06,26.41509433962264
1515,10892,-76022,26,39,65,40.0,16.338461538461537
1516,4740,-12420,20,27,47,42.55,15.574468085106384
1517,4250,-5870,24,25,49,48.98,23.612244897959183
1519,7495,-19675,21,26,47,44.68,24.51063829787234
1521,11480,11220,21,19,40,52.5,48.675
1522,6057,-20307,16,24,40,40.0,35.35
1524,3209,-2439,19,20,39,48.72,26.923076923076923
1525,14973,4027,22,22,44,50.0,21.727272727272727
1526,8806,-56586,28,35,63,44.44,12.46031746031746
1527,13134,-54034,18,27,45,40.0,43.53333333333333
1528,3743,-4993,23,22,45,51.11,27.622222222222224
1529,4116,5594,29,25,54,53.7,10.277777777777779
1530,11379,-41379,20,29,49,40.82,37.16326530612245
1531,6814,5986,22,21,43,51.16,39.30232558139535
1532,11137,-73187,18,32,50,36.0,29.56
1533,11076,-52676,18,29,47,38.3,18.425531914893618
1535,8846,-44696,16,24,40,40.0,54.6
1536,17526,9324,22,30,52,42.31,28.442307692307693
1537,18788,-7288,18,26,44,40.91,59.56818181818182
1538,8811,-8671,24,28,52,46.15,16.903846153846153
1539,5093,-9933,23,25,48,47.92,19.0
1540,5575,-13375,19,22,41,46.34,38.609756097560975
1541,8389,-24369,20,29,49,40.82,14.693877551020408
1558,20062,-91612,11,19,30,36.67,84.66666666666667
1560,24503,-52003,24,28,52,46.15,23.826923076923077
1568,3273,-20723,6,12,18,33.33,19.444444444444443
1582,10810,-41010,11,14,25,44.0,72.92
1583,9807,-20107,16,14,30,53.33,29.466666666666665
1587,3241,-10491,10,12,22,45.45,33.95454545454545
1589,19533,-23233,11,19,30,36.67,18.666666666666668
1590,101472,-296972,15,22,37,40.54,26.18918918918919
1597,14407,-25107,12,15,27,44.44,13.25925925925926
1598,6859,-35159,6,10,16,37.5,26.5
1603,4799,-24189,17,35,52,32.69,34.96153846153846
1604,3670,-7150,20,22,42,47.62,44.38095238095238
1605,5576,-4736,27,27,54,50.0,31.444444444444443
1608,3719,-3869,20,28,48,41.67,34.833333333333336
1609,3825,-11765,23,25,48,47.92,33.520833333333336
1611,4931,-10651,26,25,51,50.98,23.294117647058822
1612,5502,-22732,24,32,56,42.86,25.857142857142858
1614,7181,-11281,22,20,42,52.38,49.38095238095238
1615,5119,-20859,21,30,51,41.18,30.607843137254903
1616,3121,-11981,19,27,46,41.3,17.565217391304348
1617,2869,-489,18,17,35,51.43,36.142857142857146
1618,4603,-15043,21,30,51,41.18,21.019607843137255
1626,2181,-1281,6,7,13,46.15,21.846153846153847
1701,4986,-26236,17,27,44,38.64,35.68181818181818
1702,9513,28117,26,30,56,46.43,36.857142857142854
1707,29190,-189030,23,40,63,36.51,23.126984126984127
1708,8894,-30064,21,28,49,42.86,40.59183673469388
1709,3862,-9962,16,22,38,42.11,64.8157894736842
1710,7655,-22005,18,25,43,41.86,35.674418604651166
1711,6102,-3412,24,23,47,51.06,35.723404255319146
1712,4016,-22056,16,28,44,36.36,70.0909090909091
1713,3912,-8112,21,22,43,48.84,64.44186046511628
1714,3266,2904,22,20,42,52.38,32.69047619047619
1717,7460,6040,21,18,39,53.85,58.97435897435897
1718,3800,-360,25,23,48,52.08,18.708333333333332
1720,7443,-44693,13,26,39,33.33,61.8974358974359
1721,3271,-15781,20,21,41,48.78,15.902439024390244
1722,20474,-15824,23,27,50,46.0,44.7
1723,24103,-121703,14,26,40,35.0,57.375
1725,5736,29064,26,17,43,60.47,51.83720930232558
1726,10875,-27625,13,20,33,39.39,112.12121212121212
1727,5407,-17897,24,21,45,53.33,30.555555555555557
1730,7877,-2077,21,24,45,46.67,41.111111111111114
1731,4223,7677,24,17,41,58.54,40.51219512195122
1732,5329,1781,27,20,47,57.45,24.574468085106382
1733,11056,-12156,18,18,36,50.0,39.27777777777778
1734,7537,-21087,21,20,41,51.22,36.951219512195124
1735,3108,3102,18,15,33,54.55,60.15151515151515
1736,24048,-107448,16,30,46,34.78,22.630434782608695
1737,4808,-14208,15,17,32,46.88,48.8125
1760,32036,-182116,19,29,48,39.58,13.083333333333334
1762,6775,44325,15,8,23,65.22,17.08695652173913
1773,16459,-146259,10,24,34,29.41,54.64705882352941
1776,1229,4471,6,4,10,60.0,53.9
1783,4047,-7997,10,8,18,55.56,12.055555555555555
1786,5490,6960,7,5,12,58.33,11.0
1789,5238,-13488,8,8,16,50.0,33.0
1795,21130,-56230,19,22,41,46.34,15.75609756097561
1802,7369,4181,22,22,44,50.0,26.0
1805,3183,-12353,25,20,45,55.56,11.555555555555555
1806,4666,-13846,27,31,58,46.55,19.775862068965516
1808,10777,-46557,23,29,52,44.23,29.442307692307693
1809,4679,-11019,24,28,52,46.15,14.557692307692308
1810,3479,321,23,24,47,48.94,39.808510638297875
1817,2538,-788,5,6,11,45.45,67.45454545454545
1903,13629,-4329,23,26,49,46.94,21.693877551020407
1904,4727,-24097,18,28,46,39.13,53.108695652173914
1905,4759,481,28,21,49,57.14,26.93877551020408
1906,4768,-12648,22,34,56,39.29,18.607142857142858
1907,4843,-6073,24,24,48,50.0,31.854166666666668
1909,5904,-36024,21,37,58,36.21,27.775862068965516
2002,5674,-8474,14,16,30,46.67,103.0
2006,9598,-68548,15,34,49,30.61,44.285714285714285
2007,3700,-15920,25,28,53,47.17,11.49056603773585
2008,4192,-8762,23,31,54,42.59,23.75925925925926
2009,5775,-24315,27,31,58,46.55,20.189655172413794
2010,3550,8220,21,15,36,58.33,72.94444444444444
2012,4361,-18401,19,29,48,39.58,33.854166666666664
2013,7368,-44018,16,29,45,35.56,32.4
2014,5446,-23816,21,30,51,41.18,20.568627450980394
