Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
2017,profit,1.25%,9.72%,-0.94%,2.66%,411
2484,profit,0.0%,4.88%,0.0%,0.7%,486
2497,profit,1.58%,8.58%,0.79%,3.3%,525
2597,profit,0.6%,8.16%,0.6%,7.25%,2018
3702,profit,1.25%,2.15%,-0.36%,1.08%,768
3712,profit,0.0%,2.49%,-0.83%,1.11%,485
4967,profit,0.41%,2.7%,-1.62%,-1.62%,961
3162,loss,-1.97%,0.11%,-2.18%,-1.75%,-1063
4721,profit,-0.64%,2.45%,-1.93%,-0.26%,1039
6265,profit,0.51%,6.6%,0.0%,4.06%,102
6509,profit,1.87%,6.03%,1.87%,3.95%,663
total,90.91%,,,,1.03%,6395,618400.0
