Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1735,profit,2.9%,3.96%,0.0%,1.85%,437
2369,profit,2.75%,3.57%,0.55%,1.37%,391
2399,profit,-2.38%,5.29%,-4.5%,-3.44%,525
3048,loss,-1.66%,0.0%,-2.62%,-1.93%,-1108
3059,profit,6.91%,9.97%,3.74%,6.0%,2778
3296,profit,2.49%,2.49%,-1.92%,-1.34%,494
4746,profit,3.34%,4.18%,1.0%,1.17%,1642
6706,loss,-0.92%,1.15%,-9.91%,-9.91%,-6247
3230,profit,3.55%,3.55%,-3.13%,-3.13%,706
3360,profit,2.56%,2.56%,-0.28%,0.28%,344
3527,loss,-1.32%,0.88%,-4.85%,-4.41%,-3153
3551,profit,2.72%,4.42%,0.85%,1.02%,1249
5310,loss,1.3%,1.3%,-1.3%,-1.04%,-310
6187,profit,3.09%,8.59%,-0.34%,0.0%,3629
6228,loss,0.0%,0.0%,-6.45%,-5.38%,-379
6494,profit,3.78%,9.24%,2.1%,2.1%,3784
8093,profit,0.0%,5.23%,-0.33%,0.65%,208
8240,loss,-0.12%,0.62%,-3.11%,-2.62%,-1230
8938,loss,0.57%,0.71%,-4.27%,-3.99%,-2103
total,63.16%,,,,0.15%,1657,1095350.0
