Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1474,profit,2.82%,9.86%,1.41%,1.69%,394
2239,profit,0.88%,5.7%,0.0%,0.88%,1325
2603,profit,1.3%,2.86%,-2.86%,2.86%,1045
2606,profit,1.03%,3.68%,-5.88%,3.24%,895
2615,profit,2.49%,3.03%,-2.59%,2.38%,1748
2617,profit,0.25%,6.3%,-4.08%,4.2%,558
3033,profit,3.9%,8.03%,3.25%,6.29%,760
4967,profit,1.66%,6.8%,-4.53%,3.93%,906
3260,profit,2.73%,10.0%,-2.73%,10.0%,2343
3402,loss,-0.42%,0.32%,-3.48%,-3.27%,-1423
5245,loss,0.54%,1.26%,-4.31%,-3.59%,-1620
5864,profit,0.0%,9.64%,-0.4%,9.04%,303
6679,profit,0.32%,4.66%,-0.8%,0.16%,4154
8088,loss,0.97%,1.52%,-8.02%,-1.52%,-1107
total,78.57%,,,,0.95%,10281,1083950.0
