Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
2302,loss,0.0%,1.66%,-2.13%,-0.83%,-118
2482,profit,1.25%,3.75%,-0.83%,0.0%,128
3013,profit,0.0%,2.48%,-1.06%,-0.71%,167
3027,profit,1.75%,5.26%,0.88%,2.19%,132
3234,profit,1.75%,2.98%,-5.95%,-3.68%,761
3555,loss,-6.32%,-0.54%,-6.32%,-2.69%,-2557
4979,profit,4.68%,4.68%,-3.55%,-3.55%,1436
5364,profit,4.0%,4.0%,-3.2%,-3.2%,849
6104,profit,1.88%,4.17%,-0.81%,1.35%,959
6208,loss,1.47%,1.59%,-9.07%,-6.86%,-1234
6680,profit,7.14%,8.54%,-3.78%,-0.56%,4658
8111,profit,0.89%,9.82%,-0.89%,9.82%,134
total,75.0%,,,,1.33%,5315,398200.0
