Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
2314,profit,2.95%,6.83%,1.48%,1.85%,637
2481,profit,-0.83%,4.6%,-0.83%,2.95%,549
3006,profit,0.71%,6.12%,-1.02%,2.04%,659
3094,profit,0.22%,2.64%,0.22%,1.32%,315
3530,profit,1.56%,4.69%,0.78%,2.34%,1741
3532,profit,1.14%,3.79%,0.76%,2.27%,1717
3588,profit,0.11%,3.98%,0.11%,2.54%,631
3141,loss,1.05%,1.18%,-1.32%,0.26%,-123
3372,profit,0.43%,2.59%,-2.59%,0.86%,131
3666,profit,1.81%,2.8%,0.16%,1.32%,839
4946,profit,-3.14%,4.87%,-4.72%,3.77%,411
5351,profit,0.0%,6.89%,-0.28%,5.23%,242
5386,loss,-6.36%,0.0%,-6.36%,-3.27%,-3806
6485,profit,0.35%,9.33%,-1.04%,7.08%,378
total,85.71%,,,,0.63%,4321,690750.0
