Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1734,profit,2.28%,7.45%,0.91%,2.89%,554
2524,loss,-1.13%,1.84%,-3.11%,-1.98%,-1053
2906,loss,-0.39%,1.16%,-2.33%,0.39%,-374
3041,profit,-2.1%,3.36%,-3.15%,-0.84%,308
6166,loss,-1.41%,-0.35%,-3.41%,-2.35%,-2587
6579,loss,1.76%,1.76%,-3.26%,-2.58%,-2222
3441,loss,-1.34%,0.67%,-1.51%,-0.67%,-372
4128,profit,3.18%,9.87%,3.18%,9.87%,1624
4129,profit,-0.66%,2.38%,-1.32%,0.26%,525
6242,loss,-1.13%,-0.75%,-4.01%,-0.75%,-1180
6276,loss,-2.51%,0.63%,-2.51%,-1.67%,-736
8933,profit,0.0%,5.83%,-3.75%,2.92%,128
total,41.67%,,,,-1.15%,-5385,469900.0
