Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1235,loss,-0.52%,-0.52%,-0.52%,-0.52%,-425
1256,profit,0.53%,3.21%,0.0%,3.21%,2391
1605,profit,1.6%,5.0%,1.4%,3.8%,300
2472,profit,0.64%,2.89%,-0.8%,1.45%,829
2915,loss,0.49%,0.65%,-0.33%,0.33%,-160
3312,loss,0.3%,0.3%,-2.31%,-1.51%,-206
3432,loss,0.0%,1.01%,-0.67%,0.34%,-37
6541,profit,1.23%,2.47%,0.0%,0.82%,1281
8112,loss,0.29%,0.29%,-1.77%,-1.18%,-595
4972,loss,0.24%,1.57%,-0.73%,0.0%,-242
5410,loss,0.0%,0.28%,-1.66%,-1.38%,-355
total,36.36%,,,,0.45%,2781,613700.0
