Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1315,loss,0.0%,1.05%,-1.22%,0.35%,-137
1474,profit,0.92%,3.21%,0.46%,0.92%,134
2017,loss,1.14%,1.39%,-2.15%,-1.39%,-156
2379,profit,1.13%,2.82%,0.19%,0.75%,3422
2385,loss,0.45%,0.57%,-1.25%,-0.34%,-812
2387,profit,-0.14%,2.72%,-0.14%,2.72%,442
2548,loss,0.2%,0.2%,-0.51%,0.1%,-471
2636,loss,0.0%,0.38%,-0.38%,0.19%,-102
3029,profit,1.15%,2.44%,0.57%,1.44%,443
4576,profit,1.63%,3.5%,0.58%,2.33%,1191
3713,profit,-1.25%,9.75%,-2.75%,8.5%,232
6223,profit,0.71%,4.5%,0.24%,0.71%,1098
6237,profit,3.83%,7.47%,3.46%,4.19%,885
8410,profit,4.71%,9.95%,1.78%,6.81%,1961
total,64.29%,,,,0.91%,8130,888860.0
