Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1312,loss,0.41%,0.61%,-1.84%,-1.63%,-541
1471,loss,-0.34%,0.34%,-2.01%,-1.17%,-104
1472,loss,0.63%,0.63%,-1.26%,-1.26%,-584
1582,loss,0.7%,0.85%,0.0%,0.42%,-118
2345,profit,1.37%,1.83%,-4.11%,-3.2%,1351
4536,profit,0.0%,1.89%,-1.51%,1.89%,1714
6166,loss,0.88%,0.88%,-4.4%,-2.86%,-1361
3632,loss,0.0%,0.0%,-0.4%,0.0%,-74
5371,profit,0.99%,4.08%,0.44%,3.53%,631
8440,loss,0.0%,0.0%,-1.7%,-0.28%,-153
8446,loss,0.94%,0.94%,-3.77%,-0.94%,-3109
total,27.27%,,,,-0.39%,-2348,602270.0
