Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1802,profit,0.71%,6.25%,-1.07%,2.86%,384
1905,profit,0.79%,3.77%,-0.79%,3.77%,350
2022,profit,1.45%,6.88%,-0.36%,4.35%,168
2601,profit,0.33%,9.97%,-0.33%,9.97%,210
2605,profit,-0.32%,7.85%,-0.32%,7.37%,415
2606,profit,0.0%,9.87%,-2.1%,9.87%,833
2609,profit,4.3%,9.93%,3.48%,9.93%,2235
2611,profit,0.0%,10.0%,-2.78%,10.0%,243
2617,profit,1.29%,9.89%,1.15%,9.89%,442
3229,loss,-4.27%,-0.12%,-7.68%,-5.49%,-396
8110,profit,6.95%,6.95%,0.0%,1.07%,1185
9902,loss,0.0%,1.08%,-3.96%,-3.24%,-380
2641,profit,1.5%,10.0%,1.5%,10.0%,232
total,84.62%,,,,1.7%,5921,349150.0
