Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1515,profit,1.33%,2.0%,-0.93%,-0.53%,1054
2379,profit,-0.35%,2.78%,-0.69%,2.43%,1647
2727,loss,-0.92%,0.92%,-1.03%,-0.34%,-807
4977,profit,0.87%,4.95%,-0.62%,2.23%,1120
5234,profit,-1.02%,2.84%,-1.25%,0.0%,1178
6282,loss,-1.0%,-0.5%,-3.23%,-2.99%,-616
3498,loss,0.0%,1.4%,-0.84%,-0.84%,-507
4420,loss,-2.12%,-0.42%,-2.27%,-0.42%,-355
6138,loss,-1.22%,-0.15%,-1.98%,-1.52%,-1379
6170,loss,-0.88%,0.0%,-2.19%,-1.75%,-315
9951,loss,-0.9%,-0.34%,-4.94%,-2.25%,-2711
total,36.36%,,,,-0.23%,-1691,731800.0
