Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1304,profit,2.06%,9.95%,2.06%,9.95%,426
1447,profit,0.93%,5.09%,0.46%,3.7%,135
1471,profit,2.54%,7.2%,0.42%,5.51%,228
2022,profit,5.79%,9.99%,2.16%,9.99%,455
2062,profit,0.0%,4.59%,0.0%,2.45%,455
2440,profit,2.53%,9.85%,-1.52%,9.85%,382
2615,profit,0.0%,3.06%,-1.99%,2.14%,911
3622,loss,-1.83%,1.6%,-3.78%,-0.92%,-1301
5258,profit,-1.36%,9.88%,-1.36%,9.88%,347
6116,profit,0.0%,3.01%,-1.91%,-0.55%,240
6133,loss,0.0%,0.0%,-2.67%,-2.22%,-315
3236,profit,3.66%,3.66%,-0.91%,-0.76%,1003
3577,loss,0.0%,0.0%,-4.81%,-1.24%,-1108
4711,profit,-1.42%,3.42%,-1.42%,0.85%,245
5013,profit,2.31%,3.14%,0.99%,1.49%,519
5291,profit,0.81%,5.64%,-0.32%,0.64%,415
5438,profit,-0.35%,4.55%,-2.8%,1.75%,166
6150,profit,6.73%,6.73%,0.23%,4.41%,13175
8038,profit,-1.06%,3.96%,-2.11%,3.69%,525
8048,profit,1.88%,1.88%,-0.4%,0.67%,480
total,85.0%,,,,2.38%,17383,730260.0
