Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1522,loss,0.0%,1.49%,-1.28%,0.43%,-37
2342,profit,0.13%,2.29%,-2.16%,-1.78%,517
2405,profit,1.16%,3.1%,0.39%,2.33%,174
2601,profit,0.87%,3.48%,-1.3%,0.0%,131
2605,profit,0.44%,2.89%,-1.78%,0.89%,266
2607,profit,0.0%,2.46%,-1.72%,-0.49%,278
2613,profit,0.23%,7.73%,-0.68%,4.09%,269
2615,profit,0.2%,5.79%,-0.9%,5.59%,703
6605,profit,0.77%,10.0%,-0.77%,7.38%,913
2643,loss,0.98%,1.83%,-3.23%,-1.26%,-2109
6150,profit,1.76%,3.52%,-4.93%,-4.93%,1659
6237,profit,0.13%,2.5%,0.0%,0.66%,1049
6270,profit,1.21%,2.91%,0.0%,0.24%,278
6603,loss,0.0%,0.38%,-1.92%,-1.15%,-226
6640,profit,-0.51%,2.02%,-1.69%,-0.51%,748
total,80.0%,,,,0.71%,4613,649500.0
