Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1587,loss,-2.6%,-1.56%,-6.51%,-5.99%,-610
2358,profit,1.36%,9.18%,1.02%,5.1%,163
2380,profit,2.09%,4.39%,1.67%,3.35%,70
2390,profit,0.95%,6.4%,-5.45%,-2.84%,274
2436,profit,1.29%,4.84%,0.65%,1.61%,416
3413,loss,-0.47%,1.42%,-2.59%,-2.59%,-6218
3576,profit,0.32%,9.44%,0.0%,7.83%,124
4532,loss,-0.73%,-0.49%,-2.69%,-2.44%,-617
8429,profit,0.23%,2.63%,-3.09%,-3.09%,118
3268,loss,-6.87%,-4.37%,-10.0%,-9.38%,-1188
3672,loss,0.0%,0.0%,-2.44%,-2.44%,-493
3684,loss,0.0%,0.0%,-4.53%,-4.06%,-1241
3691,profit,0.46%,9.59%,-1.37%,4.57%,1351
4123,profit,-0.44%,2.65%,-8.52%,-3.1%,1262
4174,profit,-1.88%,3.01%,-2.26%,0.0%,1710
4188,loss,-5.63%,-5.63%,-9.89%,-9.89%,-2034
4924,profit,-4.7%,2.67%,-6.99%,-4.7%,103
4944,profit,1.87%,1.87%,-9.74%,-9.74%,171
5309,profit,-2.25%,3.04%,-2.51%,0.4%,525
5443,profit,0.68%,9.75%,0.68%,3.63%,269
5487,loss,0.68%,0.82%,-6.68%,-4.5%,-1110
6015,loss,0.12%,1.12%,-3.72%,-2.97%,-246
6016,loss,0.22%,0.22%,-2.0%,-1.11%,-151
6020,loss,-0.69%,-0.69%,-5.56%,-2.78%,-432
6217,loss,-0.13%,0.0%,-7.49%,-6.57%,-1167
6223,loss,-1.43%,-1.43%,-5.71%,-5.71%,-4304
6244,profit,1.0%,7.99%,-1.33%,5.44%,125
6270,loss,0.0%,1.42%,-2.12%,-1.42%,-422
6461,loss,-0.19%,-0.19%,-5.4%,-5.21%,-804
total,48.28%,,,,-1.23%,-14356,1165730.0
