Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
2340,loss,-0.55%,0.27%,-1.37%,-1.37%,-356
2455,profit,0.0%,2.15%,0.0%,0.77%,913
2467,loss,0.57%,0.57%,-0.38%,-0.19%,-203
2923,loss,0.0%,0.0%,-4.5%,-4.0%,-564
3004,profit,0.95%,9.93%,0.27%,9.93%,964
3380,profit,0.56%,1.68%,-1.12%,1.4%,144
3653,profit,2.4%,4.07%,-1.56%,-1.56%,1503
4557,loss,0.15%,0.75%,-0.6%,0.3%,-191
4560,loss,-0.19%,0.19%,-1.17%,-0.78%,-698
4960,loss,0.11%,0.11%,-3.85%,-2.99%,-282
4968,loss,-0.5%,0.71%,-4.74%,-4.04%,-1484
9802,loss,0.59%,0.59%,-2.93%,-1.37%,-1544
3499,loss,-0.71%,0.71%,-0.71%,-0.36%,-132
4116,profit,0.98%,3.61%,0.98%,1.97%,419
4430,loss,-0.35%,0.53%,-0.7%,-0.35%,-267
4529,profit,0.38%,4.51%,0.38%,1.5%,342
6457,profit,0.0%,1.08%,0.0%,1.08%,137
8038,loss,-2.27%,-2.12%,-5.67%,-4.82%,-2105
total,27.78%,,,,-0.47%,-3404,730410.0
