Ticker,P/L,OpenRet,HighRet,LowRet,CloseRet,pnl
1338,profit,0.63%,10.0%,0.63%,10.0%,820
2450,profit,0.54%,2.45%,-3.26%,-2.72%,482
2460,loss,1.32%,1.58%,-1.58%,-0.79%,-259
2505,profit,1.53%,3.07%,0.42%,1.26%,486
3062,profit,2.09%,2.62%,-0.79%,-0.79%,286
3665,loss,1.12%,1.5%,-1.31%,0.56%,-68
5243,profit,4.02%,4.89%,0.0%,0.57%,2381
6168,profit,3.16%,3.16%,-4.21%,-2.37%,486
5251,profit,0.0%,1.68%,-2.36%,-2.36%,162
5864,profit,2.56%,5.77%,0.64%,4.49%,307
6530,profit,0.0%,2.26%,-1.76%,0.5%,232
total,81.82%,,,,0.92%,5315,580650.0
