EntryDate,ExitDate,EntryPrice,ExitPrice,EntryCommission,ExitCommission,EntryTax,ExitTax,TotalCost,HoldingPeriod,Net,Ret,MaxPriceBetweeenHolding,MaxRetBetweeenHolding,MinPriceBetweeenHolding,MinRetBetweeenHolding
2018-04-25,2018-06-13,34.05,37.6,49,54,0,113,216,49,3334,0.0979,38.05,0.1175,34.05,0.0
2018-06-28,2018-10-15,35.8,31.9,51,45,0,96,192,109,-4092,-0.1143,35.8,0.0,30.65,-0.1439
2019-08-20,2019-10-29,35.8,39.9,51,57,0,120,228,70,3872,0.1082,39.65,0.1075,35.8,0.0
2019-10-31,2020-02-04,39.55,36.75,56,52,0,110,218,96,-3018,-0.0763,39.55,0.0,34.15,-0.1365
2020-02-06,2020-03-16,37.25,36.9,53,53,0,111,217,39,-567,-0.0152,37.25,0.0,32.95,-0.1154
2020-03-18,2020-03-20,36.25,32.05,52,46,0,96,194,2,-4394,-0.1212,36.25,0.0,31.3,-0.1366
2020-03-24,2020-04-22,30.55,33.7,44,48,0,101,193,29,2957,0.0968,35.0,0.1457,30.55,0.0
2020-04-24,2020-07-07,34.4,40.45,49,58,0,121,228,74,5822,0.1692,41.2,0.1977,34.4,0.0
2020-07-09,2020-07-28,39.0,35.0,56,50,0,105,211,19,-4211,-0.108,39.0,0.0,35.0,-0.1026
2020-07-30,2020-08-17,36.4,35.45,52,51,0,106,209,18,-1159,-0.0318,36.4,0.0,32.5,-0.1071
2020-08-19,2020-09-23,34.5,31.15,49,44,0,93,186,35,-3536,-0.1025,34.5,0.0,30.7,-0.1101
2020-09-25,2020-11-30,29.65,32.0,42,46,0,96,184,66,2166,0.0731,33.0,0.113,29.65,0.0
2020-12-02,2021-01-21,32.0,28.05,46,40,0,84,170,50,-4120,-0.1287,32.0,0.0,28.7,-0.1031
2021-01-25,2021-02-22,28.35,31.5,40,45,0,94,179,28,2971,0.1048,31.25,0.1023,28.35,0.0
2021-02-24,2021-04-14,31.7,38.1,45,54,0,114,213,49,6187,0.1952,36.0,0.1356,31.7,0.0
2021-04-16,2021-05-13,37.35,32.05,53,46,0,96,195,27,-5495,-0.1471,37.35,0.0,32.5,-0.1299
2021-05-17,2021-05-27,31.05,32.8,44,47,0,98,189,10,1561,0.0503,35.0,0.1272,31.05,0.0
2021-05-31,2021-08-31,32.75,37.15,47,53,0,111,211,92,4189,0.1279,38.4,0.1725,32.75,0.0
2021-09-02,2021-10-07,37.0,34.15,53,49,0,102,204,35,-3054,-0.0825,37.0,0.0,33.1,-0.1054
2021-10-13,2022-04-14,34.5,43.0,49,61,0,129,239,183,8261,0.2394,40.7,0.1797,34.5,0.0
2022-04-21,2022-04-28,40.55,36.3,58,52,0,109,219,7,-4469,-0.1102,40.55,0.0,36.0,-0.1122
2022-05-03,2022-05-19,36.55,38.9,52,55,0,117,224,16,2126,0.0582,40.75,0.1149,36.55,0.0
2022-05-23,2022-06-14,40.1,40.3,57,57,0,121,235,22,-35,-0.0009,40.95,0.0212,39.8,-0.0075
