Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'2605,新興,-358,"-10,981",30.67,66118,0.54
'2610,華航,-200,"-5,927",29.64,262766,0.08
'4106,雃博,"-1,895","-83,120",43.86,47954,3.95
