Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'1101,,,,,14687,
'1102,,,,,8177,
'1103,,,,,725,
'1104,,,,,312,
'1108,,,,,120,
'1109,,,,,158,
'1110,,,,,490,
'1201,,,,,798,
'1203,,,,,14,
'1210,,,,,1280,
'1213,,,,,76,
'1215,,,,,273,
'1216,,,,,3673,
'1217,,,,,1225,
'1218,,,,,113,
'1219,,,,,243,
'1220,,,,,174,
'1225,,,,,29,
'1227,,,,,529,
'1229,,,,,542,
'1231,,,,,137,
'1232,,,,,25,
'1233,,,,,11,
'1234,,,,,129,
'1235,,,,,21,
'1236,,,,,306,
'1240,,,,,16,
'1256,,,,,155,
'1258,,,,,0,
'1259,,,,,5,
'1264,,,,,10,
'1268,,,,,17,
'1301,,,,,4641,
'1303,,,,,4511,
'1304,,,,,7156,
'1305,,,,,3767,
'1307,,,,,57,
'1308,,,,,4926,
'1309,,,,,1201,
'1310,,,,,956,
'1312,,,,,11134,
'1313,,,,,3364,
'1314,,,,,20524,
'1315,,,,,99,
'1316,,,,,13945,
'1319,,,,,324,
'1321,,,,,233,
'1323,,,,,64,
'1324,,,,,35,
'1325,,,,,5599,
'1326,,,,,1684,
'1336,,,,,30,
'1337,,,,,326,
'1338,,,,,84,
'1339,,,,,12,
'1340,,,,,120,
'1341,,,,,16,
'1342,,,,,32,
'1402,,,,,6021,
'1409,,,,,2724,
'1410,,,,,269,
'1413,,,,,175,
'1414,,,,,5449,
'1416,,,,,204,
'1417,,,,,176,
'1418,,,,,4,
'1419,,,,,65,
'1423,,,,,109,
'1432,,,,,139,
'1434,,,,,2157,
'1435,,,,,70,
'1436,,,,,71,
'1437,,,,,60,
'1438,,,,,204,
'1439,,,,,79,
'1440,,,,,5979,
'1441,,,,,68,
'1442,,,,,620,
'1443,,,,,6,
'1444,,,,,2777,
'1445,,,,,796,
'1446,,,,,256,
'1447,,,,,2147,
'1449,,,,,102,
'1451,,,,,56,
'1452,,,,,222,
'1453,,,,,71,
'1454,,,,,170,
'1455,,,,,3117,
'1456,,,,,156,
'1457,,,,,333,
