Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'1101,,,,,11338,
'1102,,,,,5789,
'1103,,,,,329,
'1104,,,,,385,
'1108,,,,,190,
'1109,,,,,145,
'1110,,,,,596,
'1201,,,,,1521,
'1203,,,,,10,
'1210,,,,,1321,
'1213,,,,,12,
'1215,,,,,538,
'1216,,,,,17599,
'1217,,,,,1176,
'1218,,,,,477,
'1219,,,,,932,
'1220,,,,,265,
'1225,,,,,73,
'1227,,,,,834,
'1229,,,,,3105,
'1231,,,,,1058,
'1232,,,,,78,
'1233,,,,,10,
'1234,,,,,168,
'1235,,,,,1,
'1236,,,,,128,
'1240,,,,,19,
'1256,,,,,28,
'1258,,,,,11,
'1259,,,,,16,
'1264,,,,,2,
'1268,,,,,22,
'1301,,,,,12956,
'1303,,,,,10625,
'1304,,,,,4650,
'1305,,,,,2047,
'1307,,,,,89,
'1308,,,,,3997,
'1309,,,,,1463,
'1310,,,,,1014,
'1312,,,,,3787,
'1313,,,,,3612,
'1314,,,,,12120,
'1315,,,,,33,
'1316,,,,,2936,
'1319,,,,,970,
'1321,,,,,76,
'1323,,,,,158,
'1324,,,,,22,
'1325,,,,,817,
'1326,,,,,4854,
'1336,,,,,431,
'1337,,,,,218,
'1338,,,,,621,
'1339,,,,,21,
'1340,,,,,131,
'1341,,,,,28,
'1342,,,,,47,
'1402,,,,,7327,
'1409,,,,,4843,
'1410,,,,,19,
'1413,,,,,445,
'1414,,,,,186,
'1416,,,,,201,
'1417,,,,,52,
'1418,,,,,0,
'1419,,,,,61,
'1423,,,,,6,
'1432,,,,,3154,
'1434,,,,,4769,
'1435,,,,,16,
'1436,,,,,11,
'1437,,,,,4216,
'1438,,,,,35,
'1439,,,,,17,
'1440,,,,,4013,
'1441,,,,,34,
'1442,,,,,181,
'1443,,,,,33,
'1444,,,,,1252,
'1445,,,,,101,
'1446,,,,,94,
'1447,,,,,1325,
'1449,,,,,63,
'1451,,,,,51,
'1452,,,,,240,
'1453,,,,,120,
'1454,,,,,318,
'1455,,,,,2512,
'1456,,,,,40,
'1457,,,,,170,
'1459,,,,,752,
'1460,,,,,2230,
'1463,,,,,73,
'1464,,,,,664,
'1465,,,,,24,
'1466,,,,,423,
'1467,,,,,2896,
'1468,,,,,56,
'1470,,,,,17,
'1471,,,,,374,
'1472,,,,,0,
'1473,,,,,71,
'1474,,,,,239,
'1475,,,,,22,
'1476,,,,,1576,
'1477,,,,,806,
'1503,,,,,115,
'1504,,,,,1388,
'1506,,,,,251,
'1512,,,,,187,
'1513,,,,,54170,
'1514,,,,,15750,
'1515,,,,,1480,
'1516,,,,,237,
'1517,,,,,558,
'1519,,,,,6308,
'1521,,,,,8,
'1522,,,,,158,
'1524,,,,,179,
'1525,,,,,25,
'1526,,,,,134,
'1527,,,,,281,
'1528,,,,,528,
'1529,,,,,5824,
'1530,,,,,32,
'1531,,,,,121,
'1532,,,,,386,
'1533,,,,,330,
'1535,,,,,57,
'1536,,,,,376,
'1537,,,,,91,
'1538,,,,,23,
'1539,,,,,200,
'1540,,,,,87,
'1541,,,,,11,
'1558,,,,,69,
'1560,,,,,14268,
'1565,,,,,106,
'1568,,,,,80,
'1569,,,,,51,
'1570,,,,,130,
'1580,,,,,145,
'1582,,,,,863,
'1583,,,,,4,
'1584,,,,,261,
'1586,,,,,91,
'1587,,,,,70,
'1589,,,,,139,
'1590,,,,,724,
'1591,,,,,2505,
'1593,,,,,82,
'1595,,,,,29,
'1597,,,,,471,
'1598,,,,,198,
