Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'1402,遠東新,-405,"-11,932",29.46,6240,6.49
'2609,陽明,"-5,391","-170,550",31.64,186140,2.9
'3231,緯創,-439,"-14,846",33.82,46965,0.93
