Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'2603,長榮,"-2,005","-78,715",39.26,411542,0.49
'2890,永豐金,"-1,502","-17,423",11.6,21122,7.11
'3078,僑威,-593,"-32,537",54.87,15947,3.72
