Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'2206,,,,,354,
'2207,,,,,394,
'2208,,,,,2908,
'2211,,,,,413,
'2221,,,,,299,
'2227,,,,,51,
'2228,,,,,32,
'2230,,,,,245,
'2231,,,,,184,
'2233,,,,,433,
'2235,,,,,5,
'2236,,,,,119,
'2239,,,,,18,
'2241,,,,,174,
'2243,,,,,134,
'2247,,,,,15,
'2250,,,,,60,
'2301,,,,,5828,
'2302,,,,,70,
'2303,,,,,236257,
'2305,,,,,938,
'2308,,,,,5052,
'2312,,,,,35164,
'2313,,,,,15575,
'2314,,,,,976,
'2316,,,,,125,
'2317,,,,,29238,
'2321,,,,,8,
'2323,,,,,4131,
'2324,,,,,21509,
'2327,,,,,2029,
'2328,,,,,1665,
'2329,,,,,1237,
'2330,,,,,50406,
'2331,,,,,582,
'2332,,,,,1264,
'2337,,,,,17397,
'2338,,,,,4527,
'2340,,,,,2980,
'2342,,,,,635,
'2344,,,,,21979,
'2345,,,,,1519,
'2347,,,,,3184,
'2348,,,,,94,
'2349,,,,,1143,
'2351,,,,,2508,
'2352,,,,,4333,
'2353,,,,,12201,
'2354,,,,,2365,
'2355,,,,,1097,
'2356,,,,,5539,
'2357,,,,,2045,
'2358,,,,,707,
'2359,,,,,2712,
'2360,,,,,627,
'2362,,,,,446,
'2363,,,,,11279,
'2364,,,,,26,
'2365,,,,,133,
'2367,,,,,2930,
'2368,,,,,17470,
'2369,,,,,1102,
'2371,,,,,6493,
'2373,,,,,8,
'2374,,,,,990,
'2375,,,,,800,
'2376,,,,,3673,
'2377,,,,,3229,
'2379,,,,,2537,
'2380,,,,,446,
'2382,,,,,4729,
'2383,,,,,4507,
'2385,,,,,1627,
'2387,,,,,167,
'2388,,,,,2001,
'2390,,,,,2594,
'2392,,,,,424,
'2393,,,,,1571,
'2395,,,,,1012,
'2397,,,,,10,
'2399,,,,,807,
'2401,,,,,2603,
'2402,,,,,259,
'2404,,,,,249,
'2405,,,,,1652,
'2406,,,,,3334,
'2408,,,,,8019,
'2409,,,,,121443,
'2412,,,,,15385,
'2413,,,,,226,
'2414,,,,,61,
'2415,,,,,107,
'2417,,,,,5442,
'2419,,,,,4655,
'2420,,,,,88,
'2421,,,,,173,
'2423,,,,,226,
'2424,,,,,29,
'2425,,,,,1447,
'2426,,,,,614,
'2427,,,,,107,
'2428,,,,,236,
'2429,,,,,27,
'2430,,,,,221,
'2431,,,,,130,
'2433,,,,,15,
'2434,,,,,7,
'2436,,,,,3212,
'2438,,,,,53,
'2439,,,,,195,
'2440,,,,,124,
'2441,,,,,624,
'2442,,,,,734,
'2443,,,,,36,
'2444,,,,,78,
'2449,,,,,3696,
'2450,,,,,269,
'2451,,,,,580,
'2453,,,,,82,
'2454,,,,,13045,
'2455,,,,,13759,
'2457,,,,,5123,
'2458,,,,,1180,
'2459,,,,,13,
'2460,,,,,152,
'2461,,,,,278,
'2462,,,,,714,
'2464,,,,,177,
'2465,,,,,1033,
'2466,,,,,76,
'2467,,,,,96,
'2468,,,,,59,
'2471,,,,,37,
'2472,,,,,264,
'2474,,,,,1662,
'2476,,,,,1875,
'2477,,,,,278,
'2478,,,,,200,
'2480,,,,,138,
'2481,,,,,12731,
'2482,,,,,140,
'2483,,,,,32,
'2484,,,,,2196,
'2485,,,,,370,
'2486,,,,,1872,
'2488,,,,,23,
'2489,,,,,1475,
'2491,,,,,132,
'2492,,,,,1494,
'2493,,,,,86,
'2495,,,,,345,
'2496,,,,,10,
'2497,,,,,6298,
'2498,,,,,11553,
'2501,,,,,206,
'2504,,,,,4590,
'2505,,,,,194,
'2506,,,,,540,
'2509,,,,,66,
'2511,,,,,473,
'2514,,,,,41,
'2515,,,,,4671,
'2516,,,,,119,
'2520,,,,,403,
'2524,,,,,911,
'2527,,,,,212,
'2528,,,,,7,
'2530,,,,,292,
'2534,,,,,333,
'2535,,,,,382,
'2536,,,,,107,
'2537,,,,,1629,
'2538,,,,,527,
'2539,,,,,116,
'2540,,,,,28,
'2542,,,,,3751,
'2543,,,,,321,
'2545,,,,,838,
'2546,,,,,81,
'2547,,,,,645,
'2548,,,,,503,
'2596,,,,,29,
'2597,,,,,132,
'2601,,,,,2482,
'2603,,,,,63157,
'2605,,,,,16750,
'2606,,,,,20005,
'2607,,,,,11130,
'2608,,,,,4830,
'2609,,,,,25814,
'2610,,,,,83958,
'2611,,,,,3949,
'2612,,,,,554,
'2613,,,,,3067,
'2614,,,,,4309,
'2615,,,,,12709,
'2616,,,,,52,
'2617,,,,,4042,
'2618,,,,,126381,
'2630,,,,,177,
'2633,,,,,3940,
'2634,,,,,5732,
'2636,,,,,763,
'2637,,,,,14084,
'2640,,,,,20,
'2641,,,,,3494,
'2642,,,,,5910,
'2643,,,,,17,
'2701,,,,,54,
'2702,,,,,500,
'2704,,,,,75,
'2705,,,,,86,
'2706,,,,,100,
'2707,,,,,286,
'2712,,,,,7,
'2718,,,,,4,
'2719,,,,,10,
'2722,,,,,25,
'2723,,,,,526,
'2724,,,,,0,
'2726,,,,,13,
'2727,,,,,242,
'2729,,,,,11,
'2731,,,,,275,
'2732,,,,,43,
'2734,,,,,144,
'2736,,,,,146,
'2739,,,,,29,
'2740,,,,,1,
'2743,,,,,2353,
'2745,,,,,77,
'2748,,,,,31,
'2752,,,,,1,
'2753,,,,,99,
'2754,,,,,16,
'2755,,,,,14,
'2756,,,,,4,
'2801,,,,,14755,
'2809,,,,,1939,
'2812,,,,,4997,
'2816,,,,,84,
'2820,,,,,1018,
'2832,,,,,134,
'2834,,,,,42047,
'2836,,,,,1554,
