Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'2002,中鋼,-299,"-11,322",37.87,153507,0.19
'2609,陽明,"-1,462","-188,283",128.78,315314,0.46
'4721,美琪瑪,-396,"-38,012",95.99,28724,1.38
