Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'00632R,元大台灣50反1,-210,"-1,168",5.56,66638,0.32
'3264,欣銓,-299,"-17,922",59.94,19044,1.57
'6509,聚和,-578,"-44,142",76.37,98653,0.59
