Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'1101,,,,,18553,
'1102,,,,,32402,
'1103,,,,,379,
'1104,,,,,403,
'1108,,,,,445,
'1109,,,,,241,
'1110,,,,,3299,
'1201,,,,,599,
'1203,,,,,16,
'1210,,,,,1638,
'1213,,,,,22,
'1215,,,,,364,
'1216,,,,,11013,
'1217,,,,,596,
'1218,,,,,491,
'1219,,,,,789,
'1220,,,,,82,
'1225,,,,,75,
'1227,,,,,3958,
'1229,,,,,1804,
'1231,,,,,57,
'1232,,,,,228,
'1233,,,,,19,
'1234,,,,,32,
'1235,,,,,7,
'1236,,,,,729,
'1240,,,,,19,
'1256,,,,,17,
'1258,,,,,6,
'1259,,,,,5,
'1264,,,,,1,
'1268,,,,,20,
'1301,,,,,9074,
'1303,,,,,10330,
'1304,,,,,5538,
'1305,,,,,2668,
'1307,,,,,180,
'1308,,,,,2804,
'1309,,,,,746,
'1310,,,,,685,
'1312,,,,,6187,
'1313,,,,,4064,
'1314,,,,,11948,
'1316,,,,,4997,
'1319,,,,,561,
'1321,,,,,293,
'1323,,,,,25,
'1324,,,,,51,
'1325,,,,,3386,
'1326,,,,,3259,
'1336,,,,,37,
'1337,,,,,277,
'1338,,,,,297,
'1339,,,,,21,
'1340,,,,,52,
'1341,,,,,2,
'1342,,,,,160,
'1402,,,,,31500,
'1409,,,,,6953,
'1410,,,,,6,
'1413,,,,,380,
'1414,,,,,11052,
'1416,,,,,228,
'1417,,,,,645,
'1418,,,,,16,
'1419,,,,,24,
'1423,,,,,47,
'1432,,,,,149,
'1434,,,,,16621,
'1435,,,,,165,
'1436,,,,,27,
'1437,,,,,70,
'1438,,,,,150,
'1439,,,,,14,
'1440,,,,,154133,
'1441,,,,,129,
'1442,,,,,510,
'1443,,,,,7,
'1444,,,,,5997,
'1445,,,,,365,
'1446,,,,,49,
'1447,,,,,3182,
'1449,,,,,45,
'1451,,,,,535,
'1452,,,,,2372,
'1453,,,,,172,
'1454,,,,,3353,
'1455,,,,,19664,
'1456,,,,,137,
'1457,,,,,809,
'1459,,,,,1132,
'1460,,,,,1000,
'1463,,,,,134,
'1464,,,,,201,
'1465,,,,,26,
'1466,,,,,354,
'1467,,,,,452,
'1468,,,,,58,
'1470,,,,,97,
'1471,,,,,1589,
'1472,,,,,16,
'1473,,,,,21,
'1474,,,,,954,
'1475,,,,,4,
'1476,,,,,505,
'1477,,,,,1618,
