Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'2356,英業達,-149,"-3,419",22.95,5911,2.52
'2897,王道銀行,-100,-811,8.11,7268,1.38
'5258,虹堡,-182,"-11,228",61.69,16520,1.1
'6217,中探針,-265,"-15,624",58.96,11582,2.29
'8069,元太,-508,"-97,001",190.95,18840,2.7
