Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'2303,聯電,"-1,396","-69,552",49.82,187887,0.74
'3374,精材,-588,"-81,070",137.87,6328,9.29
'5009,榮剛,-803,"-23,618",29.41,16522,4.86
