交易日期,代號,名稱,買均,買量,賣均,賣量,累計買均,累計買量,損益,進場手續費,出場手續費,交易稅,淨損益,餘量,餘累買量,餘買均
2022-05-09,'00664R,國泰臺灣加權反1,,,6.42,-1000.0,-0.0,-1000.0,,,,,,,-1000.0,-0.0
2022-05-10,'00664R,國泰臺灣加權反1,6.44,200.0,,,-1.61,-800.0,,,,,,200.0,-800.0,-1.61
2022-05-17,'00664R,國泰臺灣加權反1,6.42,218.0,,,-4.617800687285223,-582.0,,,,,,218.0,-582.0,-4.617800687285223
2022-05-18,'00664R,國泰臺灣加權反1,6.35,106.0,,,-7.0602100840336135,-476.0,,,,,,106.0,-476.0,-7.0602100840336135
2022-05-19,'00664R,國泰臺灣加權反1,6.45,332.0,,,-38.208749999999995,-144.0,,,,,,332.0,-144.0,-38.208749999999995
2022-05-20,'00664R,國泰臺灣加權反1,6.4,144.0,,,inf,0.0,,,,,,144.0,0.0,inf
