Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'00637L,元大滬深300正2,-303,"-9,566",31.57,77277,0.39
'2317,鴻海,"-2,364","-290,028",122.69,144137,1.64
'2344,華邦電,"-2,658","-76,411",28.75,164540,1.62
'3231,緯創,-235,"-7,346",31.26,18312,1.28
