Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'00632R,元大台灣50反1,"-1,279","-7,228",5.65,201977,0.63
'2023,燁輝,"-3,056","-78,454",25.67,135735,2.25
'2038,海光,-427,"-26,337",61.68,74260,0.58
'2481,強茂,-549,"-39,538",72.02,50277,1.09
'2637,慧洋-KY,-731,"-73,962",101.18,136632,0.54
