Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'2609,陽明,-242,"-23,369",96.57,719247,0.03
'3006,晶豪科,"-1,946","-260,991",134.12,72405,2.69
'4142,國光生,"-1,845","-99,806",54.1,17627,10.47
