Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'00664R,國泰臺灣加權反1,-600,"-4,014",6.69,11476,5.23
'2303,聯電,-201,"-8,024",39.92,73485,0.27
'3189,景碩,-146,"-17,719",121.36,19379,0.75
'8028,昇陽半導體,-215,"-14,324",66.62,25376,0.85
