Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'2436,偉詮電,-719,"-77,644",107.99,26793,2.68
'2880,華南金,-213,"-4,463",20.95,6181,3.45
'3016,嘉晶,"-2,132","-315,271",147.88,58134,3.67
'8069,元太,"-2,314","-279,713",120.88,68825,3.36
