Ticker,名稱,差額(張數),差額(金額),賣出均價,成交量,賣出占比
'3707,漢磊,"-1,265","-168,056",132.85,108034,1.17
'3711,日月光投控,"-1,578","-154,128",97.67,16938,9.32
'4739,康普,-407,"-51,189",125.77,16372,2.49
